Student_ID,Year_of_Entry,TCAS_channels,Gender,Age,Years_Living_in_BKK,Hometown_REGION,Address_Type,Where_to_stay,Time_spent_for_traveling,InternetAccess_at_Home,Living_expenses_,Type_of_prior_school,Prior_School_Province_REGION,School_name,Math,Physics,Chemistry,Biology,Family_Size,Stay_with,Family_status,Father_Education,Mother_Education,guardian,mother_job,father_job,Household_income,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry,Statistics,Computer_Programming,Thermodynamics,Engineering_Materials,Engineering_Drawing,University_GPAx_1st_year,Scholarship_Excellent_Performance,Scholarship_Financial_Aid,Participation_on_Activities
0027,2020,1,Female,18,18,BKK,Urban,Apartment,67,Mobile,5000,Vocational School,BKK,BKK8,1.75,1.75,1.75,2,4,Alone,Together,Bachelor,Bachelor,Father,Public,Public,190000,1.5,1.5,2,2,3,1,1,2,0.5,1,1.5,1.87,No,No,Medium
0028,2020,2,Male,18,0,E,Urban,Apartment,20,Wifi,11000,High School,BKK,BKK9,3.5,1.5,3.75,3.25,4,Alone,Together,Bachelor,Bachelor,Father,Business,Freelance,1320000,3,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,2.5,3.28,No,No,Medium
0029,2020,2,Male,19,0,E,Rural,Home,84,Wifi,13000,High School,E,E3,3.5,3.5,3.75,3,3,Parents,Together,Bachelor,Bachelor,Father,Business,Private,1510000,3,2.5,3,3.5,3,2.5,3,2.5,3,3,3.5,2.87,Yes,No,High
0030,2020,1,Male,18,18,BKK,Urban,Home,59,Wifi,15000,Vocational School,BKK,BKK2,2.5,2.5,2.25,2.25,3,Parents,Together,Bachelor,Vocational,Father,Public,Business,1520000,2.5,2.5,3,3,3,2.5,2.5,3,3,3,4,2.83,No,No,Medium
0031,2020,3,Female,19,19,BKK,Urban,Home,25,Wifi,2000,High School,BKK,BKK7,1.75,2,1.5,2.5,3,Parents,Together,Vocational,High School,Father,Business,Business,150000,1.5,2.5,2.5,2,2.5,0.5,1.5,2,2,1.5,2.5,2.16,No,No,No
0032,2020,2,Male,18,18,BKK,Urban,Home,68,Mobile,8000,High School,BKK,BKK4,3.25,3.25,2.75,2.25,3,Parents,Together,Vocational,High School,Father,Private,Business,870000,3,2.5,3,3.5,3,2.5,3,3,2.5,2.5,2,2.9,No,No,High
0033,2020,2,Male,18,0,E,Urban,Apartment,32,Mobile,8000,High School,BKK,BKK1,2,2.25,1.75,1.75,4,Alone,Together,High School,Primary,Father,Private,Public,310000,2,2.5,2,2.5,2.5,2.5,1.5,2,0.5,2.5,4,2.38,No,No,Medium
0034,2020,2,Female,18,18,BKK,Urban,Home,56,Wifi,6000,Vocational School,BKK,BKK10,2.25,2.25,1.75,2,4,Parents,Together,Bachelor,Vocational,Father,Business,Freelance,330000,2,1.5,1,2.5,2.5,0.5,2.5,1.5,1,2.5,3.5,2.04,No,No,High
0035,2020,2,Female,18,0,E,Rural,Apartment,73,Wifi,13000,High School,E,E3,3.25,3,3.75,1.5,4,Alone,Together,Vocational,High School,Father,Business,Private,1600000,3,3,2.5,3.5,3.5,3,4,2.5,2.5,3.5,3,3.27,No,No,Low
0036,2020,1,Male,18,18,BKK,Urban,Home,45,Wifi,13000,Vocational School,BKK,BKK6,3.5,3,3,3.75,3,Parents,Together,Vocational,Vocational,Father,Public,Freelance,1610000,3,2.5,3,3.5,3.5,2.5,3.5,3,3,3.5,1.5,3.12,No,No,High
0037,2020,2,Female,18,0,E,Urban,Apartment,70,Mobile,6000,High School,E,E1,1.5,1.75,2,1.75,3,Alone,Together,High School,Vocational,Father,Business,Business,220000,1,1,1,1,1,1,1,1,0,1,3.5,1.58,No,No,High
0038,2020,3,Male,18,0,NE,Urban,Apartment,80,Mobile,6000,High School,NE,NE8,1.5,1.75,1.75,1.75,4,Alone,Together,Bachelor,Vocational,Mother,Business,Business,260000,1.5,1,1.5,2,1.5,1,2,1.5,1,2,3,1.96,No,No,No
0039,2020,2,Male,19,0,E,Urban,Apartment,83,Mobile,5000,High School,E,E4,1.75,2,1.75,3.25,4,Alone,Together,Vocational,High School,Father,Freelance,Freelance,350000,1.5,1.5,1.5,2,2.5,1.5,1.5,1,1.5,1,1,1.75,No,No,High
0040,2020,3,Male,18,3,E,Urban,Apartment,67,Mobile,9000,High School,BKK,BKK7,2,1.75,1.75,1.75,3,Alone,Apart,High School,Primary,Mother,Private,Public,340000,2,0.5,1,2.5,2,2,2,1.5,1.5,2,1,2.02,No,No,Medium
0041,2020,3,Male,18,3,S,Urban,Apartment,39,Wifi,12000,High School,S,S7,3,3.25,3,3.25,3,Alone,Apart,Vocational,Bachelor,Mother,Private,Business,1490000,2.5,2,1.5,3,3,2,3,2.5,2.5,3,4,2.79,Yes,No,High
0042,2020,2,Female,18,18,BKK,Urban,Apartment,72,Wifi,15000,High School,BKK,BKK1,1.75,1.75,1.75,1.75,3,Alone,Together,Bachelor,Bachelor,Father,Public,Freelance,600000,1.5,1.5,2,2,1.5,1,1.5,1,0,1.5,3.5,1.91,No,No,Medium
0043,2020,2,Female,18,18,BKK,Urban,Home,6,Wifi,4000,Vocational School,BKK,BKK1,3.5,3.5,3.75,1.75,2,Mom or Dad,Apart,High School,High School,Mother,Business,Private,190000,3,3.5,4,3.5,3.5,2,3,3,2,3.5,1.5,2.98,Yes,No,High
0044,2020,3,Female,18,0,S,Rural,Apartment,84,Wifi,15000,High School,BKK,BKK8,3.25,3.75,3.25,3,4,Alone,Together,Bachelor,Vocational,Father,Public,Private,1730000,3,3.5,4,3.5,4,4,2.5,3.5,3,2.5,3,3.43,No,No,Medium
0045,2020,2,Male,19,0,S,Urban,Apartment,56,Wifi,8000,High School,S,S10,3.25,3.5,2.25,3.25,3,Alone,Together,Primary,High School,Mother,Freelance,Business,510000,3,3,4,3.5,3.5,4,3,3.5,1.5,4,2.5,3.22,No,No,No
0046,2020,2,Male,18,18,BKK,Urban,Home,59,Wifi,6000,Vocational School,BKK,BKK10,2.25,2.75,1.75,2.75,4,Parents,Together,Vocational,Vocational,Father,Private,Freelance,700000,2,1.5,1,2.5,2.5,1,2,2,1.5,2,3,2.32,No,Yes,Medium
0047,2020,2,Female,18,0,S,Urban,Apartment,89,Mobile,8000,High School,S,S9,2.5,2,2.5,2.5,4,Roommates,Together,Bachelor,Master,Mother,Business,Freelance,750000,2.5,3.5,4,3,3.5,0.5,3.5,3,2,2.5,2.5,2.93,Yes,No,Low
0048,2020,1,Male,18,18,BKK,Urban,Apartment,22,Wifi,15000,Vocational School,BKK,BKK6,3.5,4,3.25,3.5,3,Alone,Apart,Bachelor,Vocational,Mother,Business,Private,1760000,3.5,3,3.5,4,4,4,4,3.5,3,3,2.5,3.4,No,No,Medium
0049,2020,2,Male,18,18,BKK,Urban,Home,83,Wifi,9000,Vocational School,BKK,BKK2,2,2,1.75,2.25,3,Parents,Together,Bachelor,Master,Father,Public,Public,350000,2,1.5,2,2.5,2,1,2,2.5,1.5,2.5,2,2.26,No,Yes,Medium
0050,2020,3,Male,19,4,S,Rural,Apartment,22,Wifi,8000,High School,S,S6,2,1.5,2.5,1.75,3,Alone,Together,Vocational,High School,Father,Freelance,Business,310000,1.5,1.5,2,2,2,1.5,1.5,1.5,0.5,2.5,3,2.15,No,No,Medium
0051,2020,2,Male,18,0,NE,Urban,Apartment,32,Mobile,7000,High School,NE,NE9,1.5,1.75,1.75,2,3,Roommates,Together,Bachelor,Vocational,Father,Private,Public,360000,1,1,1,1.5,1.5,0,0.5,1,0.5,0,2.5,1.28,No,No,Low
0052,2020,2,Female,18,18,BKK,Urban,Home,89,Mobile,8000,High School,BKK,BKK4,2.5,3.25,2.5,2.75,3,Parents,Together,Bachelor,Master,Father,Freelance,Business,330000,2.5,2,2,3,3.5,1.5,2,3,3.5,2.5,2,2.77,No,No,Medium
0053,2020,2,Male,18,18,BKK,Urban,Home,60,Wifi,10000,High School,BKK,BKK4,2.75,3.25,3.25,2.25,3,Parents,Together,Bachelor,Bachelor,Father,Freelance,Public,1240000,2.5,1.5,2,3,2.5,3,3,2.5,1,3.5,4,2.83,No,No,Low
0054,2020,2,Female,20,20,BKK,Urban,Home,36,Wifi,15000,Vocational School,BKK,BKK3,3.5,3,3.75,3.5,4,Parents,Together,Vocational,Bachelor,Father,Private,Business,1620000,3,3,4,3.5,3.5,2,3.5,3,2,4,2,3.08,No,No,Medium
0055,2020,2,Male,18,18,BKK,Urban,Home,86,Mobile,6000,Vocational School,BKK,BKK7,2.75,2.25,3,3,3,Parents,Together,High School,Vocational,Father,Business,Private,310000,2.5,1.5,1.5,3,3,2.5,2,2,1,2.5,3,2.44,No,No,Medium
0056,2020,1,Male,18,3,BKK,Urban,Home,108,Wifi,13000,Vocational School,BKK,BKK3,3.5,4,3.5,3.5,2,Mom or Dad,Apart,Bachelor,Bachelor,Mother,Business,Business,1570000,2.5,3,3,3,3,2,2,2.5,2,3,3,2.79,Yes,No,High
0057,2020,3,Female,18,3,E,Rural,Apartment,55,Mobile,4000,Vocational School,E,E4,2,2.25,1.75,2.25,3,Roommates,Together,High School,Primary,Father,Freelance,Private,150000,2,1.5,0.5,2.5,3,1.5,2,2,0.5,2,2,2.17,No,No,High
0058,2020,3,Female,18,0,NE,Urban,Apartment,81,Wifi,7000,Vocational School,NE,NE10,1.5,1.75,1.75,1.75,2,Alone,Apart,Primary,Primary,Mother,Private,Freelance,820000,1,1.5,2,1.5,1,0,2,1.5,1.5,2,4,2.04,No,No,Low
0059,2020,2,Female,18,18,BKK,Urban,Home,78,Wifi,13000,High School,BKK,BKK4,3.5,3.5,3.5,1.5,3,Parents,Together,Bachelor,Master,Father,Private,Private,1540000,3,2.5,3,3.5,3.5,2.5,3,3,2.5,3.5,2,3.04,No,No,Medium
0060,2020,1,Female,18,3,BKK,Urban,Home,82,Wifi,13000,Vocational School,BKK,BKK6,2.75,3.25,1.5,2.5,2,Mom or Dad,Apart,High School,High School,Father,Freelance,Business,1560000,2.5,2.5,3.5,3,3,1.5,2,2.5,2,3,3,2.77,No,No,Medium
0061,2020,2,Female,18,18,BKK,Urban,Apartment,58,Mobile,9000,High School,BKK,BKK8,2,3.25,2,1.75,3,Alone,Together,High School,High School,Father,Business,Freelance,370000,1.5,0.5,0,2,2,0.5,1.5,1,0.5,1,1,1.5,No,No,High
0062,2020,2,Male,18,3,BKK,Urban,Home,70,Wifi,7000,Vocational School,BKK,BKK3,2.25,2.5,2.25,1.75,4,Parents,Together,Bachelor,Bachelor,Father,Freelance,Public,260000,2,1.5,1,2.5,3,0.5,2.5,2.5,1.5,2,1.5,1.99,No,No,Low
0063,2020,2,Male,18,18,BKK,Urban,Home,25,Wifi,4000,High School,BKK,BKK10,2.25,1.75,2,3,3,Parents,Together,High School,Primary,Father,Private,Business,150000,2,1.5,1.5,2.5,2.5,3.5,2,3,1.5,2.5,1,2.21,No,Yes,High
0064,2020,3,Male,18,0,E,Rural,Apartment,5,Mobile,10000,High School,E,E9,1.75,1.75,3.5,2.25,4,Alone,Together,High School,Primary,Mother,Freelance,Freelance,710000,1.5,1.5,0.5,2,3,3,2,2,1,1.5,1,2.11,No,No,Medium
0065,2020,3,Male,18,0,E,Rural,Apartment,80,Mobile,14000,High School,E,E3,2,1.75,2.5,2.25,4,Alone,Together,High School,Primary,Father,Business,Freelance,570000,2,1.5,1.5,2.5,3,2.5,2,2,2,3,2,2.26,No,No,High
0066,2020,3,Female,18,0,S,Urban,Apartment,32,Mobile,9000,High School,S,S5,2.25,2,2.5,2.5,4,Alone,Together,High School,Vocational,Father,Freelance,Private,340000,2,2.5,3,2.5,2,1.5,1.5,2,1.5,2.5,2,2.19,No,No,Medium
0067,2020,1,Male,18,18,BKK,Urban,Home,72,Mobile,9000,Vocational School,BKK,BKK4,2.5,2.25,2.75,2,4,Parents,Together,High School,High School,Father,Freelance,Freelance,350000,2.5,2.5,2.5,3,3,1,2.5,3,2.5,3,2.5,2.77,Yes,No,Medium
0068,2020,2,Male,18,18,BKK,Urban,Home,39,Wifi,8000,Vocational School,BKK,BKK10,2,2.25,2.5,2.75,4,Parents,Together,Vocational,Bachelor,Mother,Business,Freelance,360000,1.5,1,1,2,2.5,1,1,1.5,1,2,1.5,1.85,No,No,Medium
0069,2020,2,Female,18,3,BKK,Urban,Home,55,Wifi,15000,Vocational School,BKK,BKK10,3.25,3.75,2.75,3.25,3,Parents,Together,High School,Primary,Mother,Freelance,Public,1330000,2.5,2,2.5,3,3,1,2.5,2,0.5,3.5,2.5,2.4,No,No,No
0070,2020,1,Female,18,3,BKK,Urban,Home,44,Wifi,7000,Vocational School,BKK,BKK9,2,2.5,2.25,2.5,4,Parents,Together,Bachelor,Vocational,Father,Freelance,Private,270000,1.5,0.5,0.5,2,2.5,0.5,2,1.5,1,2,3,1.81,No,No,Medium
0071,2020,3,Male,18,18,BKK,Urban,Home,43,Wifi,15000,High School,BKK,BKK3,2.75,3,3.25,2.75,2,Mom or Dad,Apart,Vocational,Vocational,Mother,Private,Business,590000,2.5,1.5,2,3,2,2,2,3,2.5,2,3,2.61,No,No,Medium
0072,2020,1,Female,18,3,BKK,Urban,Apartment,8,Wifi,8000,Vocational School,BKK,BKK7,3.25,3.75,3,2.75,3,Alone,Apart,Bachelor,Master,Mother,Business,Private,980000,3,2.5,3.5,3.5,4,2,2.5,3,2.5,3.5,4,3.13,Yes,No,Medium
0073,2020,2,Male,18,18,BKK,Urban,Home,28,Wifi,10000,Vocational School,BKK,BKK2,3.5,3,3.5,3,2,Mom or Dad,Apart,Bachelor,Master,Mother,Business,Private,1170000,3,3,3,3.5,3.5,2,3.5,2.5,2.5,3.5,2,3.02,No,No,Medium
0074,2020,3,Female,19,0,E,Rural,Apartment,59,Mobile,4000,High School,E,E4,2,1.75,3.5,1.75,4,Alone,Together,High School,Vocational,Mother,Freelance,Public,160000,2,1.5,1.5,2.5,1.5,1.5,2,1.5,0.5,2.5,1.5,1.88,No,No,High
0075,2020,2,Male,18,18,BKK,Urban,Apartment,27,Wifi,12000,High School,BKK,BKK6,3.5,3.75,4,4,4,Roommates,Together,High School,Primary,Father,Freelance,Freelance,1470000,3,2,2,3.5,4,2.5,3,2.5,3,3,2,2.74,No,No,Low
0076,2020,3,Male,19,0,E,Rural,Apartment,42,Mobile,11000,High School,E,E5,2.5,2.5,2,2,3,Alone,Apart,Vocational,High School,Mother,Business,Private,450000,2,2,2,2.5,2.5,1,1.5,2,1,3,2,2.33,No,No,Medium
0077,2020,1,Female,18,18,BKK,Urban,Home,17,Wifi,11000,Vocational School,BKK,BKK2,3.5,3.5,3.25,3.75,4,Parents,Together,Vocational,Vocational,Father,Freelance,Public,1350000,3,3,2.5,3.5,4,2.5,3.5,2.5,3,3.5,4,3.28,Yes,No,High
0078,2020,3,Male,18,0,S,Urban,Apartment,83,Mobile,2000,High School,S,S6,3.5,3.75,4,3,3,Roommates,Together,High School,Vocational,Father,Public,Private,220000,3,3,4,3.5,4,2.5,3,3,2,3,1.5,2.96,No,No,Low
0079,2020,2,Male,18,18,BKK,Urban,Home,81,Mobile,13000,Vocational School,BKK,BKK2,3,1.5,3,2.75,4,Parents,Together,High School,High School,Mother,Business,Business,1580000,2.5,2,2.5,3,4,2,2.5,3,2,3,1.5,2.69,No,No,Medium
0080,2020,3,Male,19,0,S,Rural,Apartment,31,Wifi,15000,Vocational School,S,S3,3.5,3.75,4,3.5,4,Alone,Together,Bachelor,Bachelor,Father,Public,Business,1310000,3,3.5,4,3.5,3.5,2,3.5,3.5,1.5,3.5,2,3.15,No,No,No
0081,2020,2,Male,18,18,BKK,Urban,Home,68,Wifi,11000,Vocational School,BKK,BKK4,2.5,2.75,3,2.25,3,Parents,Together,Bachelor,Master,Father,Freelance,Public,1360000,2.5,2,2.5,3,2.5,1.5,2.5,3,1,3,1.5,2.51,No,No,High
0082,2020,3,Male,18,0,E,Urban,Apartment,14,Wifi,15000,High School,E,E8,3.5,3,3.25,3,4,Alone,Together,High School,High School,Mother,Public,Freelance,1340000,3,4,4,3.5,4,2.5,3,2,2,3,2.5,3.13,No,No,High
0083,2020,2,Female,18,0,S,Urban,Apartment,70,Mobile,9000,High School,S,S1,2.25,2.75,1.75,1.75,3,Roommates,Apart,Bachelor,Vocational,Mother,Freelance,Private,350000,1.5,2,2.5,2,2.5,0.5,1.5,2.5,1,1.5,1.5,2.01,No,No,Medium
0084,2020,3,Female,18,18,BKK,Urban,Apartment,54,Wifi,10000,High School,BKK,BKK10,2.75,2.5,2.25,1.75,4,Alone,Together,High School,Primary,Father,Public,Public,480000,2.5,2.5,2.5,3,3.5,2.5,3,1.5,1,3,2.5,2.77,No,No,Medium
0085,2020,2,Male,19,19,BKK,Urban,Home,50,Wifi,7000,High School,BKK,BKK10,2,1.75,1.75,2.25,4,Parents,Together,Bachelor,Vocational,Father,Private,Business,690000,2,2,3,2.5,2.5,2.5,1.5,2,2.5,2.5,1.5,2.46,No,No,Medium
0086,2020,3,Male,18,0,E,Urban,Apartment,55,Wifi,7000,High School,E,E5,2,1.75,1.75,2.5,4,Roommates,Together,Vocational,Bachelor,Mother,Business,Business,820000,2,1.5,2.5,2.5,3,3,2.5,2.5,2,0.5,3,2.49,No,No,Low
0087,2020,1,Female,18,18,BKK,Urban,Home,83,Mobile,5000,Vocational School,BKK,BKK3,2.5,2.75,3,2.25,3,Mom or Dad,Apart,Vocational,High School,Mother,Freelance,Public,200000,2,1.5,2,2.5,1.5,1,3,2,0.5,2.5,3,2.2,No,No,High
0088,2020,2,Male,18,0,E,Urban,Apartment,31,Mobile,8000,High School,E,E7,2.75,2.75,3,2.5,3,Roommates,Together,Bachelor,Vocational,Mother,Private,Freelance,310000,2.5,2,2.5,3,3,1.5,3.5,3,2.5,2,3,2.83,No,No,Medium
0089,2020,2,Male,18,0,E,Urban,Home,73,Wifi,4000,High School,BKK,BKK3,3.5,3.75,3,2,4,Parents,Together,Bachelor,Vocational,Father,Freelance,Public,510000,3,2.5,3,3.5,3.5,3.5,3.5,3.5,1.5,2.5,2,2.93,No,No,High
0090,2020,3,Female,19,4,S,Urban,Apartment,26,Mobile,7000,High School,S,S10,2,2.5,2.5,2.75,3,Alone,Together,Bachelor,Master,Father,Public,Business,330000,2,1.5,2.5,2.5,2,2,2.5,2.5,1,1.5,2.5,2.27,No,No,Medium
0091,2020,2,Male,18,18,BKK,Urban,Home,52,Wifi,13000,High School,BKK,BKK8,3.25,3.5,3,2.75,3,Parents,Together,Vocational,Bachelor,Father,Private,Public,1580000,3,3.5,3.5,3.5,3.5,2,3,3,1.5,2.5,3.5,2.94,Yes,No,Low
0092,2020,1,Female,18,18,BKK,Urban,Home,38,Wifi,10000,Vocational School,BKK,BKK6,3.25,3.25,2.5,3.25,4,Parents,Together,Bachelor,Vocational,Father,Business,Business,380000,3,2.5,3.5,3.5,3,1.5,3,3.5,3.5,3,3.5,3.08,No,No,Low
0093,2020,2,Female,18,0,E,Urban,Apartment,90,Wifi,14000,High School,E,E5,3.25,3.75,3.5,3.75,4,Alone,Together,Bachelor,Bachelor,Mother,Private,Public,1690000,3,3.5,3.5,3.5,3.5,2.5,3.5,3.5,2.5,4,2,3.32,Yes,No,Medium
0094,2020,2,Female,18,3,BKK,Urban,Home,82,Wifi,3000,Vocational School,BKK,BKK10,1.75,1.75,1.75,1.75,3,Parents,Together,Vocational,Bachelor,Father,Business,Freelance,330000,1.5,1.5,2.5,2,2,0.5,2,1.5,0,1.5,3.5,2.08,No,No,No
0095,2020,2,Female,18,3,BKK,Urban,Home,28,Mobile,4000,Vocational School,BKK,BKK10,3.25,3.75,2.5,3,3,Parents,Together,Vocational,Bachelor,Father,Public,Public,230000,3,2.5,2.5,3.5,3.5,2.5,2.5,3,1.5,4,2.5,2.8,No,Yes,Medium
