Student_ID,Year_of_Entry,TCAS_channels,Years_Living_in_BKK,Hometown_REGION,Address_Type,Where_to_stay,Time_spent_for_traveling,InternetAccess_at_Home,Living_expenses,Type_of_prior_school,Prior_School_Province_REGION,School_name,Math,Physics,Chemistry,Biology,Family_Size,Stay_with,Family_status,Father_Education,Mother_Education,guardian,mother_job,father_job,Household_income,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry_1,Statistics,Computer_Programming,Thermodynamics,Engineering_Materials,Engineering_Drawing,University_GPAx_1st_year,Scholarship_Excellent_Performance,Scholarship_Financial_Aid,Participation_on_Activities
31,2020.0,1.0,3.0,BKK,Urban,Home,43,wifi,7000,Vocational School,BKK,BKK6,3.25,3.5,3.0,3.75,4,Alone,Together,Bachelor,Bachelor,Father,Private,Private,870000,3.0,3.5,3.5,2.0,3.0,3.0,3.5,2.5,1.0,3.5,1.0,3.01,No,No,High
32,2020.0,1.0,3.0,BKK,Urban,Home,28,wifi,15000,Vocational School,BKK,BKK2,2.75,3.25,3.25,3.0,4,Parents,Together,Bachelor,Bachelor,Mother,Private,Business,3210000,2.5,2.5,3.0,1.5,2.5,3.0,3.5,2.5,2.5,3.0,1.5,2.8,No,No,Medium
33,2020.0,2.0,0.0,S,Urban,Apartment,54,mobile,6000,High School,S,S7,2.75,3.0,3.25,3.25,4,Alone,Together,Bachelor,Bachelor,Father,Public,Private,680000,2.5,1.5,2.5,1.0,2.0,2.5,3.0,2.5,2.0,2.5,4.0,2.66,No,No,Medium
34,2020.0,3.0,4.0,E,Urban,Apartment,19,wifi,15000,High School,E,E1,2.5,2.5,2.75,3.0,3,Alone,Together,Bachelor,Master,Mother,Freelance,Public,1870000,2.5,2.0,2.0,1.0,1.5,2.5,3.0,3.0,2.5,2.5,4.0,2.68,No,No,Low
36,2020.0,2.0,19.0,BKK,Urban,Home,116,wifi,8000,High School,BKK,BKK1,2.5,2.25,2.0,3.0,4,Parents,Together,Bachelor,Master,Mother,Freelance,Private,730000,2.5,2.0,2.5,1.5,3.0,2.0,2.0,3.5,2.0,2.5,3.0,2.75,Yes,No,High
37,2020.0,2.0,0.0,E,Urban,Apartment,36,wifi,15000,High School,BKK,BKK10,3.25,3.75,3.5,3.75,3,Alone,Together,Bachelor,Bachelor,Father,Public,Business,2970000,3.0,2.0,2.0,2.5,3.0,2.5,3.0,2.5,2.0,2.5,3.0,2.61,No,No,Low
38,2020.0,3.0,18.0,BKK,Urban,Home,11,wifi,6000,High School,BKK,BKK9,1.75,2.25,2.0,2.0,4,Parents,Together,Bachelor,Bachelor,Mother,Private,Private,740000,2.0,2.5,3.5,1.0,2.0,1.5,2.5,2.5,0.5,2.5,2.5,2.3,No,No,Medium
39,2020.0,3.0,0.0,E,Urban,Apartment,25,wifi,14000,High School,E,E3,1.75,2.25,1.75,1.75,3,Roommates,Together,Bachelor,Bachelor,Father,Private,Private,1630000,1.5,1.5,2.5,1.0,2.5,1.5,1.5,1.5,1.0,1.5,2.0,2.0,No,No,Low
40,2020.0,2.0,0.0,E,Urban,Apartment,51,mobile,9000,High School,E,E7,2.5,2.25,2.25,2.75,4,Alone,Together,Master,Bachelor,Father,Public,Private,710000,2.0,1.5,2.0,1.0,1.5,2.0,2.5,2.5,2.0,2.5,2.0,2.23,No,No,Medium
41,2020.0,2.0,19.0,BKK,Urban,Home,14,wifi,11000,High School,BKK,BKK3,2.5,2.25,2.0,2.5,3,Parents,Together,Bachelor,Bachelor,Mother,Freelance,Private,740000,2.5,3.0,3.5,1.5,3.0,0.5,3.5,2.5,3.5,3.0,3.0,2.72,No,No,Medium
42,2020.0,2.0,0.0,S,Urban,Apartment,73,mobile,6000,High School,S,S4,1.5,1.5,2.0,1.75,3,Alone,Together,Bachelor,Bachelor,Father,Private,Public,710000,1.5,1.0,1.5,0.0,1.0,2.0,1.0,1.5,0.5,1.5,3.5,1.8,No,No,Medium
43,2020.0,2.0,18.0,BKK,Urban,Home,35,wifi,15000,Vocational School,BKK,BKK5,2.75,2.5,3.0,2.75,3,Parents,Together,Bachelor,Bachelor,Father,Public,Freelance,2080000,2.5,2.0,2.0,1.5,2.0,1.0,3.0,3.0,2.5,3.0,0.5,2.3,No,No,No
44,2020.0,2.0,0.0,E,Rural,Apartment,57,wifi,12000,High School,E,E5,1.5,2.0,1.75,1.75,2,Alone,Apart,Master,Bachelor,Mother,Freelance,Private,1430000,1.5,2.0,2.0,1.5,3.0,1.5,1.5,1.5,1.0,1.0,0.5,2.04,No,No,Low
45,2020.0,2.0,18.0,BKK,Urban,Home,53,wifi,15000,High School,BKK,BKK4,3.5,3.5,2.0,3.25,4,Parents,Together,Master,Bachelor,Father,Private,Business,3600000,3.0,4.0,4.0,2.0,3.0,3.5,3.5,3.0,0.5,3.5,4.0,3.26,Yes,No,Medium
46,2020.0,3.0,0.0,E,Rural,Apartment,35,wifi,15000,High School,E,E2,2.5,2.75,3.0,1.75,3,Roommates,Together,Bachelor,Bachelor,Father,Public,Public,2390000,2.5,2.0,2.5,2.0,4.0,2.5,2.5,3.0,2.0,2.0,1.5,2.75,No,No,High
47,2020.0,2.0,18.0,BKK,Urban,Apartment,15,wifi,15000,Vocational School,BKK,BKK6,2.75,3.25,2.75,2.25,3,Roommates,Together,Bachelor,Bachelor,Father,Private,Public,2630000,2.5,2.0,3.5,1.5,3.0,0.5,3.0,2.0,3.5,2.0,2.0,2.72,No,No,Medium
48,2020.0,3.0,4.0,NE,Urban,Apartment,66,wifi,15000,Vocational School,NE,NE8,3.5,3.5,4.0,1.5,3,Alone,Together,Bachelor,Master,Mother,Private,Public,2500000,3.0,3.5,4.0,2.0,3.0,3.0,3.0,3.0,3.5,3.0,3.5,3.3,Yes,No,High
50,2020.0,2.0,18.0,BKK,Urban,Home,61,wifi,11000,High School,BKK,BKK2,2.25,1.75,2.25,1.5,4,Parents,Together,Bachelor,Bachelor,Mother,Freelance,Freelance,880000,2.0,1.0,2.0,1.5,2.0,3.0,3.0,2.0,1.5,2.0,3.0,2.28,No,No,Medium
53,2020.0,2.0,18.0,BKK,Urban,Home,85,wifi,8000,Vocational School,BKK,BKK7,1.75,2.25,1.75,2.25,3,Parents,Together,Bachelor,Bachelor,Mother,Public,Private,1010000,1.5,1.5,1.0,0.5,2.0,0.0,2.0,2.5,1.5,1.0,3.0,2.04,No,No,Medium
54,2020.0,2.0,0.0,E,Urban,Apartment,29,mobile,12000,High School,E,E7,1.5,1.75,1.75,1.75,3,Alone,Together,Master,Bachelor,Father,Freelance,Private,730000,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,1.5,3.0,1.34,No,No,Low
55,2020.0,2.0,18.0,BKK,Urban,Home,54,wifi,6000,High School,BKK,BKK2,2.75,2.25,3.0,3.25,3,Parents,Together,Bachelor,Master,Mother,Private,Public,740000,2.5,2.5,1.5,2.0,3.0,2.0,2.0,2.5,3.0,2.0,0.5,2.57,No,No,Medium
56,2020.0,2.0,3.0,NE,Urban,Apartment,78,mobile,15000,High School,NE,NE4,3.5,3.25,3.0,3.75,3,Alone,Together,Bachelor,Master,Father,Public,Freelance,580000,2.5,2.0,2.5,2.0,3.0,1.5,3.5,3.0,2.0,2.5,0.5,2.43,No,No,Medium
57,2020.0,1.0,3.0,BKK,Urban,Apartment,23,wifi,15000,Vocational School,BKK,BKK1,3.5,3.0,4.0,3.0,4,Roommates,Together,Master,Bachelor,Father,Freelance,Business,3470000,3.0,2.5,3.5,1.5,2.5,3.0,3.5,4.0,4.0,2.5,2.5,3.11,No,No,Medium
58,2020.0,2.0,3.0,S,Rural,Apartment,65,mobile,13000,High School,S,S10,3.25,3.75,3.5,3.25,3,Alone,Together,Bachelor,Bachelor,Father,Private,Business,790000,3.0,2.5,2.0,2.0,3.0,3.0,3.0,2.0,2.5,4.0,1.5,2.74,No,No,Medium
59,2020.0,3.0,19.0,BKK,Urban,Apartment,80,wifi,15000,High School,BKK,BKK2,2.75,3.0,2.25,3.0,3,Alone,Apart,Bachelor,Bachelor,Mother,Private,Public,2110000,2.5,2.5,4.0,1.0,1.5,2.0,3.0,2.5,1.0,2.0,2.5,2.61,No,No,Medium
60,2020.0,2.0,18.0,BKK,Urban,Home,45,wifi,13000,Vocational School,BKK,BKK9,2.25,2.25,1.75,2.5,4,Parents,Together,Bachelor,Bachelor,Father,Public,Freelance,750000,2.0,2.5,3.5,1.0,1.5,3.0,2.5,1.5,1.5,1.5,0.5,2.1,No,No,Low
61,2020.0,2.0,0.0,E,Urban,Apartment,48,wifi,15000,High School,BKK,BKK3,2.75,2.5,2.5,3.0,2,Alone,Apart,Bachelor,Bachelor,Mother,Public,Private,1750000,2.5,3.0,3.0,1.5,2.5,2.0,3.0,3.5,2.0,3.0,1.5,2.75,No,No,High
62,2020.0,2.0,18.0,BKK,Urban,Home,40,wifi,12000,High School,BKK,BKK3,1.75,3.5,2.75,1.75,3,Parents,Together,Bachelor,Bachelor,Mother,Freelance,Freelance,570000,1.5,2.0,2.5,0.5,2.5,0.5,1.5,2.0,2.5,1.0,2.0,1.99,No,No,No
63,2020.0,3.0,0.0,S,Urban,Apartment,69,mobile,11000,High School,S,S6,2.0,2.5,2.5,2.5,2,Alone,Apart,Bachelor,Bachelor,Mother,Freelance,Private,600000,1.5,1.0,1.0,1.0,2.0,1.0,1.0,1.5,0.0,1.0,2.0,1.61,No,No,Low
64,2020.0,2.0,19.0,BKK,Urban,Home,67,mobile,9000,High School,BKK,BKK1,2.75,3.0,3.25,3.25,4,Parents,Together,Bachelor,Bachelor,Father,Public,Freelance,370000,3.0,2.5,2.0,2.5,3.0,1.0,2.5,3.5,2.0,3.5,1.0,2.66,No,Yes,High
65,2020.0,2.0,18.0,BKK,Urban,Home,15,wifi,15000,Vocational School,BKK,BKK3,2.75,2.75,2.75,3.0,3,Parents,Together,Bachelor,Bachelor,Father,Private,Freelance,1910000,2.5,1.5,1.5,1.5,3.0,2.5,3.0,3.0,1.0,1.5,2.5,2.44,No,No,Medium
67,2020.0,3.0,3.0,BKK,Urban,Home,10,wifi,15000,High School,BKK,BKK8,1.75,1.75,1.75,2.0,4,Parents,Together,Bachelor,Bachelor,Father,Freelance,Freelance,940000,1.5,1.0,0.5,0.5,1.0,1.5,2.0,1.5,1.5,1.5,3.5,2.02,No,No,Low
68,2020.0,2.0,0.0,S,Rural,Apartment,42,mobile,14000,High School,S,S6,2.0,1.75,1.75,1.75,4,Alone,Together,Bachelor,Bachelor,Father,Freelance,Private,770000,2.0,1.5,2.0,1.5,2.5,2.0,2.5,2.5,2.5,1.5,1.0,2.19,No,No,No
69,2020.0,3.0,0.0,NE,Urban,Apartment,29,wifi,15000,High School,BKK,BKK2,2.75,3.25,3.0,3.0,3,Alone,Together,Bachelor,Bachelor,Father,Private,Business,3010000,3.0,1.5,1.0,1.5,2.5,2.0,3.0,3.0,2.0,3.0,1.5,2.61,No,No,High
71,2020.0,2.0,18.0,BKK,Urban,Home,29,wifi,4000,Vocational School,BKK,BKK3,1.75,1.75,1.75,1.75,3,Parents,Together,HighSchool,Bachelor,Father,Private,Freelance,420000,1.5,1.5,1.0,0.5,2.0,1.5,1.5,2.0,1.0,1.5,2.5,1.96,No,No,Medium
73,2020.0,1.0,18.0,BKK,Urban,Home,20,wifi,14000,Vocational School,BKK,BKK4,3.5,3.75,2.25,3.5,4,Parents,Together,Bachelor,Bachelor,Father,Private,Private,1680000,3.0,2.5,3.0,2.5,3.0,2.5,3.0,3.5,1.5,2.5,2.5,2.99,No,No,No
74,2020.0,1.0,3.0,BKK,Urban,Home,9,wifi,15000,Vocational School,BKK,BKK1,3.5,1.75,3.25,3.0,3,Parents,Together,Master,Bachelor,Father,Private,Private,800000,3.0,3.5,3.5,2.0,3.5,2.5,3.0,3.0,2.0,4.0,1.0,3.04,No,Yes,High
75,2020.0,3.0,0.0,E,Rural,Apartment,64,wifi,15000,High School,BKK,BKK3,3.0,3.25,2.75,1.75,3,Alone,Together,Bachelor,Bachelor,Father,Private,Public,1820000,3.0,3.5,4.0,1.5,2.5,3.5,3.5,3.5,3.0,3.5,1.5,3.21,No,No,Low
78,2020.0,3.0,18.0,BKK,Urban,Home,23,wifi,11000,High School,BKK,BKK3,2.0,2.5,2.25,2.25,3,Parents,Together,Bachelor,Bachelor,Father,Private,Private,800000,2.0,2.0,2.0,1.0,2.0,1.5,2.0,2.0,1.0,1.5,2.0,2.01,No,No,No
80,2020.0,3.0,0.0,S,Urban,Apartment,71,wifi,7000,Vocational School,S,S4,2.25,1.75,2.75,2.75,2,Alone,Apart,Bachelor,Bachelor,Mother,Freelance,Public,830000,2.5,2.5,3.0,1.0,1.5,1.5,3.5,2.0,2.5,2.5,2.0,2.61,No,No,High
81,2020.0,3.0,0.0,E,Urban,Apartment,80,mobile,13000,High School,E,E2,2.5,2.0,2.75,2.5,3,Alone,Apart,Bachelor,Master,Mother,Freelance,Public,710000,2.5,2.0,1.5,2.0,3.0,3.0,3.0,2.5,2.0,2.5,1.5,2.62,No,No,Medium
84,2020.0,2.0,18.0,BKK,Urban,Home,42,wifi,10000,Vocational School,BKK,BKK6,1.75,1.75,2.25,1.75,3,Parents,Together,Master,Bachelor,Father,Public,Public,560000,1.5,1.0,1.0,0.0,1.0,1.5,2.0,1.5,0.0,2.5,1.5,1.74,No,No,Low
87,2020.0,3.0,0.0,E,Rural,Apartment,19,mobile,10000,High School,E,E10,3.0,3.5,2.75,2.5,2,Roommates,Apart,Master,Bachelor,Mother,Public,Private,660000,3.0,4.0,4.0,2.0,3.0,2.5,3.0,3.0,3.0,2.5,1.0,2.95,No,No,High
88,2020.0,3.0,3.0,BKK,Urban,Home,29,mobile,8000,High School,BKK,BKK3,3.5,3.75,3.25,3.0,3,Parents,Together,Bachelor,Bachelor,Father,Freelance,Private,750000,3.0,2.5,3.5,2.0,3.5,2.5,3.0,4.0,1.5,4.0,1.5,3.06,No,No,Medium
89,2020.0,2.0,3.0,NE,Urban,Apartment,89,wifi,10000,High School,NE,NE1,3.25,3.25,3.0,3.75,3,Alone,Together,Bachelor,Master,Father,Private,Private,1120000,3.0,3.0,3.0,2.0,3.5,2.0,3.5,3.0,1.5,3.0,1.5,2.92,No,No,Low
91,2020.0,3.0,0.0,S,Rural,Apartment,61,wifi,15000,High School,BKK,BKK6,2.75,3.0,1.5,1.75,3,Alone,Together,Master,Bachelor,Father,Freelance,Private,880000,2.5,2.0,3.0,1.5,1.5,2.0,2.5,3.0,1.0,2.5,3.0,2.49,No,No,Low
92,2020.0,3.0,0.0,E,Rural,Apartment,60,wifi,15000,High School,E,E2,1.5,1.75,1.75,2.0,4,Alone,Together,Bachelor,Master,Mother,Freelance,Public,910000,1.5,2.0,2.0,0.5,2.5,0.5,2.0,2.0,2.0,1.5,2.5,2.15,No,No,Low
93,2020.0,3.0,18.0,BKK,Urban,Home,37,wifi,15000,High School,BKK,BKK2,3.25,2.75,3.0,3.75,3,Parents,Together,Bachelor,Bachelor,Mother,Private,Private,2740000,3.0,3.5,4.0,2.0,3.5,2.5,3.5,3.0,2.0,3.0,3.0,3.27,No,No,High
94,2020.0,3.0,18.0,BKK,Urban,Home,90,wifi,15000,High School,BKK,BKK5,3.25,3.5,3.5,3.75,4,Parents,Together,Bachelor,Bachelor,Mother,Public,Freelance,2450000,3.0,4.0,4.0,2.0,3.0,3.0,3.5,2.5,2.5,3.0,3.0,3.23,No,No,Low
96,2020.0,2.0,3.0,BKK,Urban,Home,36,wifi,11000,High School,BKK,BKK3,1.5,1.75,1.75,1.75,3,Parents,Together,Bachelor,Bachelor,Father,Private,Private,510000,1.5,1.0,1.0,0.5,2.0,1.0,1.5,2.0,0.0,2.0,1.5,1.82,No,No,Low
97,2020.0,2.0,18.0,BKK,Urban,Home,44,wifi,15000,Vocational School,BKK,BKK9,1.5,2.0,1.75,1.75,3,Relatives,Apart,Bachelor,Master,Mother,Public,Freelance,2020000,1.5,1.0,1.5,1.0,2.5,1.0,1.5,2.5,1.0,2.0,1.5,2.0,No,No,Medium
99,2020.0,1.0,3.0,BKK,Urban,Home,42,mobile,8000,Vocational School,BKK,BKK8,3.25,3.5,3.5,3.25,3,Parents,Together,Bachelor,Bachelor,Father,Public,Private,700000,3.0,2.5,2.0,2.5,4.0,1.5,3.5,3.0,3.0,3.5,3.5,3.14,No,No,Medium
100,2020.0,2.0,18.0,BKK,Urban,Home,7,wifi,9000,High School,BKK,BKK3,2.25,1.75,2.25,1.75,3,Mom or Dad,Apart,Bachelor,Bachelor,Father,Public,Freelance,950000,2.0,2.0,3.0,1.0,1.5,1.0,2.5,2.0,2.0,1.5,3.0,2.13,No,No,Low
101,2020.0,2.0,0.0,E,Urban,Apartment,16,wifi,12000,High School,BKK,BKK9,2.75,3.25,2.25,3.5,3,Alone,Together,Bachelor,Bachelor,Father,Freelance,Private,1110000,2.5,2.5,2.5,1.5,2.5,2.5,2.0,2.0,1.0,2.0,1.5,2.23,No,No,Medium
102,2020.0,2.0,18.0,BKK,Urban,Home,22,wifi,14000,Vocational School,BKK,BKK9,1.75,1.75,1.75,1.75,3,Mom or Dad,Apart,Bachelor,Bachelor,Father,Public,Business,1010000,1.5,1.0,2.0,1.0,1.5,2.0,1.5,2.0,1.0,2.0,3.5,2.11,No,No,No
103,2020.0,2.0,0.0,S,Rural,Apartment,51,mobile,4000,High School,S,S3,2.0,1.75,2.25,1.75,3,Alone,Together,HighSchool,Bachelor,Father,Public,Public,460000,2.0,1.5,1.5,1.0,2.0,2.5,2.5,1.5,1.5,2.5,3.0,2.13,No,No,Medium
104,2020.0,3.0,3.0,E,Urban,Apartment,10,wifi,11000,High School,E,E5,2.5,2.0,2.75,3.0,3,Alone,Apart,HighSchool,HighSchool,Mother,Public,Business,480000,2.0,1.5,2.0,0.5,2.0,0.5,2.5,2.5,1.5,2.5,2.5,2.32,No,No,Low
105,2020.0,1.0,19.0,BKK,Urban,Home,73,mobile,5000,Vocational School,BKK,BKK4,1.75,2.25,2.25,1.75,3,Parents,Together,Bachelor,Bachelor,Mother,Public,Private,630000,1.5,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.5,2.5,1.79,No,No,No
106,2020.0,3.0,18.0,BKK,Urban,Home,35,mobile,15000,High School,BKK,BKK4,2.75,2.75,2.25,3.0,3,Parents,Together,Bachelor,Bachelor,Mother,Private,Business,3650000,2.0,2.0,3.0,1.5,2.0,2.0,2.5,2.0,0.5,2.5,1.5,2.23,No,No,Low
107,2020.0,3.0,18.0,BKK,Urban,Home,46,wifi,11000,High School,BKK,BKK6,2.5,2.25,3.0,2.0,3,Parents,Together,Master,Bachelor,Mother,Public,Private,700000,2.5,1.5,2.0,2.0,2.5,2.0,2.5,1.5,2.5,2.5,3.5,2.47,No,No,Medium
108,2020.0,2.0,0.0,E,Urban,Apartment,28,wifi,15000,High School,E,E7,1.75,1.75,3.5,1.5,2,Alone,Apart,Bachelor,Bachelor,Mother,Freelance,Freelance,1140000,1.5,2.5,2.5,1.0,2.5,1.0,1.5,0.5,1.0,1.5,2.5,1.92,No,No,Medium
109,2020.0,2.0,4.0,BKK,Urban,Home,22,wifi,15000,Vocational School,BKK,BKK1,3.0,3.0,2.75,2.0,4,Parents,Together,Bachelor,Bachelor,Father,Private,Private,2560000,2.5,2.5,2.5,1.5,2.5,3.0,3.0,2.5,1.5,3.5,0.0,2.66,No,No,High
110,2020.0,2.0,19.0,BKK,Urban,Home,23,wifi,8000,Vocational School,BKK,BKK5,3.0,2.5,3.5,2.75,3,Parents,Together,Master,Bachelor,Mother,Private,Private,900000,2.5,3.0,3.5,1.5,2.0,1.5,3.5,2.5,2.0,3.0,1.5,2.73,No,No,Low
112,2020.0,3.0,4.0,S,Urban,Apartment,57,mobile,15000,High School,S,S7,1.75,2.0,2.25,1.75,4,Alone,Together,Master,Bachelor,Father,Freelance,Freelance,930000,1.5,1.0,1.5,0.5,2.5,1.0,1.0,1.5,1.0,1.5,4.0,1.86,No,No,Medium
114,2020.0,3.0,18.0,BKK,Urban,Home,42,wifi,15000,High School,BKK,BKK4,3.0,2.75,3.25,3.25,4,Parents,Together,Bachelor,Bachelor,Father,Public,Private,1830000,3.0,2.5,3.0,2.0,2.5,4.0,3.0,3.0,3.0,3.0,4.0,3.27,Yes,No,Medium
115,2020.0,2.0,19.0,BKK,Urban,Home,46,wifi,15000,Vocational School,BKK,BKK3,2.5,3.0,2.25,2.5,4,Parents,Together,Bachelor,Master,Father,Public,Business,3500000,2.0,2.0,2.0,1.5,3.0,1.0,2.5,2.0,1.0,1.5,2.5,2.16,No,No,No
116,2020.0,2.0,18.0,BKK,Urban,Home,18,wifi,15000,Vocational School,BKK,BKK8,2.0,1.75,1.75,2.0,3,Parents,Together,Master,Bachelor,Father,Private,Business,2970000,1.5,1.5,2.5,0.5,2.5,0.0,1.5,2.0,1.0,1.5,2.0,1.79,No,No,Low
