Student_ID,Year_of_Entry,TCAS_channels,Years_Living_in_BKK,Hometown_REGION,Address_Type,Where_to_stay,Time_spent_for_traveling,InternetAccess_at_Home,Living_expenses,Type_of_prior_school,Prior_School_Province_REGION,School_name,Math,Physics,Chemistry,Biology,Family_Size,Stay_with,Family_status,Father_Education,Mother_Education,guardian,mother_job,father_job,Household_income,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry.1,Statistics,Computer_Programming,Thermodynamics,Engineering_Materials,Engineering_Drawing,University_GPAx_1st_year,Scholarship_Excellent_Performance,Scholarship_Financial_Aid,Participation_on_Activities
27,2020.0,1.0,18.0,BKK,Urban,Home,65,wifi,8000,Vocational School,BKK,BKK2,3.0,3.25,2.75,3.25,3,Mom or Dad,Apart,Master,Master,Mother,Business,Private,1000000,3.0,2.5,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.5,2.0,2.87,No,Yes,Low
28,2020.0,3.0,0.0,NE,Urban,Apartment,34,wifi,13000,High School,NE,NE7,3.0,2.75,3.5,3.5,3,Alone,Together,Bachelor,Master,Mother,Public,Public,1010000,2.5,2.5,2.0,1.5,2.5,1.5,2.0,2.0,1.5,2.5,2.5,2.4,No,No,High
29,2020.0,3.0,0.0,S,Urban,Apartment,29,wifi,15000,High School,S,S8,3.5,3.75,3.5,3.5,4,Alone,Together,Doctoral,Master,Father,Public,Business,3790000,3.5,4.0,4.0,2.5,2.5,3.0,3.0,3.5,3.5,3.5,3.5,3.45,Yes,No,High
31,2020.0,1.0,3.0,BKK,Urban,Home,43,wifi,7000,Vocational School,BKK,BKK6,3.25,3.5,3.0,3.75,4,Alone,Together,Master,Bachelor,Father,Private,Business,870000,3.0,3.5,3.5,2.0,3.0,3.0,3.5,2.5,1.0,3.5,1.0,3.01,No,No,High
32,2020.0,1.0,3.0,BKK,Urban,Home,28,wifi,15000,Vocational School,BKK,BKK2,2.75,3.25,3.25,3.0,4,Parents,Together,Bachelor,Bachelor,Mother,Private,Business,3210000,2.5,2.5,3.0,1.5,2.5,3.0,3.5,2.5,2.5,3.0,1.5,2.8,No,No,Medium
33,2020.0,2.0,0.0,S,Urban,Apartment,54,mobile,6000,High School,S,S7,2.75,3.0,3.25,3.25,4,Alone,Together,Bachelor,Vocational,Father,Public,Business,680000,2.5,1.5,2.5,1.0,2.0,2.5,3.0,2.5,2.0,2.5,4.0,2.66,No,No,High
34,2020.0,3.0,4.0,E,Urban,Apartment,19,wifi,15000,High School,E,E1,2.5,2.5,2.75,3.0,3,Alone,Together,Master,Doctoral,Mother,Freelance,Private,1870000,2.5,2.0,2.0,1.0,1.5,2.5,3.0,3.0,2.5,2.5,4.0,2.68,No,No,High
36,2020.0,2.0,19.0,BKK,Urban,Home,116,wifi,8000,High School,BKK,BKK1,2.5,2.25,2.0,3.0,4,Parents,Together,Doctoral,Doctoral,Mother,Private,Private,730000,2.5,2.0,2.5,1.5,3.0,2.0,2.0,3.5,2.0,2.5,3.0,2.75,Yes,No,High
37,2020.0,2.0,0.0,E,Urban,Apartment,36,wifi,15000,High School,BKK,BKK10,3.25,3.75,3.5,3.75,3,Alone,Together,Doctoral,Doctoral,Father,Public,Private,2970000,3.0,2.0,2.0,2.5,3.0,2.5,3.0,2.5,2.0,2.5,3.0,2.61,No,No,Medium
38,2020.0,3.0,18.0,BKK,Urban,Home,11,wifi,6000,High School,BKK,BKK9,1.75,2.25,2.0,2.0,4,Parents,Together,Master,Master,Mother,Public,Private,740000,2.0,2.5,3.5,1.0,2.0,1.5,2.5,2.5,0.5,2.5,2.5,2.3,No,No,Medium
39,2020.0,3.0,0.0,E,Urban,Apartment,25,wifi,14000,High School,E,E3,1.75,2.25,1.75,1.75,3,Roommates,Together,Bachelor,Master,Father,Private,Business,1630000,1.5,1.5,2.5,1.0,2.5,1.5,1.5,1.5,1.0,1.5,2.0,2.0,No,No,Medium
40,2020.0,2.0,0.0,E,Urban,Apartment,51,mobile,9000,High School,E,E7,2.5,2.25,2.25,2.75,4,Alone,Together,Bachelor,Vocational,Father,Private,Public,710000,2.0,1.5,2.0,1.0,1.5,2.0,2.5,2.5,2.0,2.5,2.0,2.23,No,No,Medium
41,2020.0,2.0,19.0,BKK,Urban,Home,14,wifi,11000,High School,BKK,BKK3,2.5,2.25,2.0,2.5,3,Parents,Together,Doctoral,Doctoral,Mother,Public,Private,740000,2.5,3.0,3.5,1.5,3.0,0.5,3.5,2.5,3.5,3.0,3.0,2.72,No,No,Medium
42,2020.0,2.0,0.0,S,Urban,Apartment,73,mobile,6000,High School,S,S4,1.5,1.5,2.0,1.75,3,Alone,Together,Master,Bachelor,Father,Business,Freelance,710000,1.5,1.0,1.5,0.0,1.0,2.0,1.0,1.5,0.5,1.5,3.5,1.8,No,No,No
43,2020.0,2.0,18.0,BKK,Urban,Home,35,wifi,15000,Vocational School,BKK,BKK5,2.75,2.5,3.0,2.75,3,Parents,Together,Master,Bachelor,Father,Freelance,Business,2080000,2.5,2.0,2.0,1.5,2.0,1.0,3.0,3.0,2.5,3.0,0.5,2.3,No,No,High
44,2020.0,2.0,0.0,E,Rural,Apartment,57,wifi,12000,High School,E,E5,1.5,2.0,1.75,1.75,2,Alone,Apart,Bachelor,Vocational,Mother,Business,Private,1430000,1.5,2.0,2.0,1.5,3.0,1.5,1.5,1.5,1.0,1.0,0.5,2.04,No,No,Medium
45,2020.0,2.0,18.0,BKK,Urban,Home,53,wifi,15000,High School,BKK,BKK4,3.5,3.5,2.0,3.25,4,Parents,Together,Bachelor,Bachelor,Father,Private,Public,3600000,3.0,4.0,4.0,2.0,3.0,3.5,3.5,3.0,0.5,3.5,4.0,3.26,Yes,No,Medium
46,2020.0,3.0,0.0,E,Rural,Apartment,35,wifi,15000,High School,E,E2,2.5,2.75,3.0,1.75,3,Roommates,Together,Bachelor,Master,Father,Private,Public,2390000,2.5,2.0,2.5,2.0,4.0,2.5,2.5,3.0,2.0,2.0,1.5,2.75,No,No,Low
47,2020.0,2.0,18.0,BKK,Urban,Apartment,15,wifi,15000,Vocational School,BKK,BKK6,2.75,3.25,2.75,2.25,3,Roommates,Together,Bachelor,Bachelor,Father,Private,Business,2630000,2.5,2.0,3.5,1.5,3.0,0.5,3.0,2.0,3.5,2.0,2.0,2.72,No,No,Medium
48,2020.0,3.0,4.0,NE,Urban,Apartment,66,wifi,15000,Vocational School,NE,NE8,3.5,3.5,4.0,1.5,3,Alone,Together,Master,Master,Mother,Private,Freelance,2500000,3.0,3.5,4.0,2.0,3.0,3.0,3.0,3.0,3.5,3.0,3.5,3.3,Yes,No,No
50,2020.0,2.0,18.0,BKK,Urban,Home,61,wifi,11000,High School,BKK,BKK2,2.25,1.75,2.25,1.5,4,Parents,Together,Bachelor,Vocational,Mother,Public,Business,880000,2.0,1.0,2.0,1.5,2.0,3.0,3.0,2.0,1.5,2.0,3.0,2.28,No,No,Medium
53,2020.0,2.0,18.0,BKK,Urban,Home,85,wifi,8000,Vocational School,BKK,BKK7,1.75,2.25,1.75,2.25,3,Parents,Together,Bachelor,Master,Mother,Business,Business,1010000,1.5,1.5,1.0,0.5,2.0,0.0,2.0,2.5,1.5,1.0,3.0,2.04,No,No,High
54,2020.0,2.0,0.0,E,Urban,Apartment,29,mobile,12000,High School,E,E7,1.5,1.75,1.75,1.75,3,Alone,Together,Bachelor,Bachelor,Father,Freelance,Freelance,730000,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,1.5,3.0,1.34,No,No,Low
55,2020.0,2.0,18.0,BKK,Urban,Home,54,wifi,6000,High School,BKK,BKK2,2.75,2.25,3.0,3.25,3,Parents,Together,Doctoral,Master,Mother,Freelance,Private,740000,2.5,2.5,1.5,2.0,3.0,2.0,2.0,2.5,3.0,2.0,0.5,2.57,No,No,Medium
56,2020.0,2.0,3.0,NE,Urban,Apartment,78,mobile,15000,High School,NE,NE4,3.5,3.25,3.0,3.75,3,Alone,Together,High School,High School,Father,Public,Private,580000,2.5,2.0,2.5,2.0,3.0,1.5,3.5,3.0,2.0,2.5,0.5,2.43,No,No,High
57,2020.0,1.0,3.0,BKK,Urban,Apartment,23,wifi,15000,Vocational School,BKK,BKK1,3.5,3.0,4.0,3.0,4,Roommates,Together,Doctoral,Doctoral,Father,Public,Private,3470000,3.0,2.5,3.5,1.5,2.5,3.0,3.5,4.0,4.0,2.5,2.5,3.11,No,No,Low
58,2020.0,2.0,3.0,S,Rural,Apartment,65,mobile,13000,High School,S,S10,3.25,3.75,3.5,3.25,3,Alone,Together,Doctoral,Master,Father,Business,Public,790000,3.0,2.5,2.0,2.0,3.0,3.0,3.0,2.0,2.5,4.0,1.5,2.74,No,No,Medium
59,2020.0,3.0,19.0,BKK,Urban,Apartment,80,wifi,15000,High School,BKK,BKK2,2.75,3.0,2.25,3.0,3,Alone,Apart,Doctoral,Doctoral,Mother,Business,Public,2110000,2.5,2.5,4.0,1.0,1.5,2.0,3.0,2.5,1.0,2.0,2.5,2.61,No,No,High
60,2020.0,2.0,18.0,BKK,Urban,Home,45,wifi,13000,Vocational School,BKK,BKK9,2.25,2.25,1.75,2.5,4,Parents,Together,Bachelor,Bachelor,Father,Business,Freelance,750000,2.0,2.5,3.5,1.0,1.5,3.0,2.5,1.5,1.5,1.5,0.5,2.1,No,No,High
61,2020.0,2.0,0.0,E,Urban,Apartment,48,wifi,15000,High School,BKK,BKK3,2.75,2.5,2.5,3.0,2,Alone,Apart,Doctoral,Doctoral,Mother,Public,Business,1750000,2.5,3.0,3.0,1.5,2.5,2.0,3.0,3.5,2.0,3.0,1.5,2.75,No,No,Low
62,2020.0,2.0,18.0,BKK,Urban,Home,40,wifi,12000,High School,BKK,BKK3,1.75,3.5,2.75,1.75,3,Parents,Together,Bachelor,Vocational,Mother,Business,Private,570000,1.5,2.0,2.5,0.5,2.5,0.5,1.5,2.0,2.5,1.0,2.0,1.99,No,No,Medium
63,2020.0,3.0,0.0,S,Urban,Apartment,69,mobile,11000,High School,S,S6,2.0,2.5,2.5,2.5,2,Alone,Apart,Master,Doctoral,Mother,Freelance,Public,600000,1.5,1.0,1.0,1.0,2.0,1.0,1.0,1.5,0.0,1.0,2.0,1.61,No,No,No
64,2020.0,2.0,19.0,BKK,Urban,Home,67,mobile,9000,High School,BKK,BKK1,2.75,3.0,3.25,3.25,4,Parents,Together,Vocational,Vocational,Father,Freelance,Private,370000,3.0,2.5,2.0,2.5,3.0,1.0,2.5,3.5,2.0,3.5,1.0,2.66,No,Yes,Medium
65,2020.0,2.0,18.0,BKK,Urban,Home,15,wifi,15000,Vocational School,BKK,BKK3,2.75,2.75,2.75,3.0,3,Parents,Together,Doctoral,Doctoral,Father,Private,Public,1910000,2.5,1.5,1.5,1.5,3.0,2.5,3.0,3.0,1.0,1.5,2.5,2.44,No,No,No
67,2020.0,3.0,3.0,BKK,Urban,Home,10,wifi,15000,High School,BKK,BKK8,1.75,1.75,1.75,2.0,4,Parents,Together,Master,Bachelor,Father,Freelance,Freelance,940000,1.5,1.0,0.5,0.5,1.0,1.5,2.0,1.5,1.5,1.5,3.5,2.02,No,No,High
68,2020.0,2.0,0.0,S,Rural,Apartment,42,mobile,14000,High School,S,S6,2.0,1.75,1.75,1.75,4,Alone,Together,Bachelor,Vocational,Father,Public,Freelance,770000,2.0,1.5,2.0,1.5,2.5,2.0,2.5,2.5,2.5,1.5,1.0,2.19,No,No,Medium
69,2020.0,3.0,0.0,NE,Urban,Apartment,29,wifi,15000,High School,BKK,BKK2,2.75,3.25,3.0,3.0,3,Alone,Together,Doctoral,Doctoral,Father,Freelance,Private,3010000,3.0,1.5,1.0,1.5,2.5,2.0,3.0,3.0,2.0,3.0,1.5,2.61,No,No,Medium
71,2020.0,2.0,18.0,BKK,Urban,Home,29,wifi,4000,Vocational School,BKK,BKK3,1.75,1.75,1.75,1.75,3,Parents,Together,Primary,Primary,Father,Private,Business,420000,1.5,1.5,1.0,0.5,2.0,1.5,1.5,2.0,1.0,1.5,2.5,1.96,No,No,High
73,2020.0,1.0,18.0,BKK,Urban,Home,20,wifi,14000,Vocational School,BKK,BKK4,3.5,3.75,2.25,3.5,4,Parents,Together,Master,Master,Father,Public,Freelance,1680000,3.0,2.5,3.0,2.5,3.0,2.5,3.0,3.5,1.5,2.5,2.5,2.99,No,No,Medium
74,2020.0,1.0,3.0,BKK,Urban,Home,9,wifi,15000,Vocational School,BKK,BKK1,3.5,1.75,3.25,3.0,3,Parents,Together,Master,Master,Father,Public,Business,800000,3.0,3.5,3.5,2.0,3.5,2.5,3.0,3.0,2.0,4.0,1.0,3.04,No,Yes,Medium
75,2020.0,3.0,0.0,E,Rural,Apartment,64,wifi,15000,High School,BKK,BKK3,3.0,3.25,2.75,1.75,3,Alone,Together,Bachelor,Master,Father,Business,Private,1820000,3.0,3.5,4.0,1.5,2.5,3.5,3.5,3.5,3.0,3.5,1.5,3.21,No,No,No
78,2020.0,3.0,18.0,BKK,Urban,Home,23,wifi,11000,High School,BKK,BKK3,2.0,2.5,2.25,2.25,3,Parents,Together,Master,Bachelor,Father,Business,Business,800000,2.0,2.0,2.0,1.0,2.0,1.5,2.0,2.0,1.0,1.5,2.0,2.01,No,No,Medium
80,2020.0,3.0,0.0,S,Urban,Apartment,71,wifi,7000,Vocational School,S,S4,2.25,1.75,2.75,2.75,2,Alone,Apart,Doctoral,Master,Mother,Private,Private,830000,2.5,2.5,3.0,1.0,1.5,1.5,3.5,2.0,2.5,2.5,2.0,2.61,No,No,Medium
81,2020.0,3.0,0.0,E,Urban,Apartment,80,mobile,13000,High School,E,E2,2.5,2.0,2.75,2.5,3,Alone,Apart,Master,Doctoral,Mother,Private,Private,710000,2.5,2.0,1.5,2.0,3.0,3.0,3.0,2.5,2.0,2.5,1.5,2.62,No,No,Low
84,2020.0,2.0,18.0,BKK,Urban,Home,42,wifi,10000,Vocational School,BKK,BKK6,1.75,1.75,2.25,1.75,3,Parents,Together,Primary,High School,Father,Public,Business,560000,1.5,1.0,1.0,0.0,1.0,1.5,2.0,1.5,0.0,2.5,1.5,1.74,No,No,No
87,2020.0,3.0,0.0,E,Rural,Apartment,19,mobile,10000,High School,E,E10,3.0,3.5,2.75,2.5,2,Roommates,Apart,Bachelor,Master,Mother,Freelance,Public,660000,3.0,4.0,4.0,2.0,3.0,2.5,3.0,3.0,3.0,2.5,1.0,2.95,No,No,No
88,2020.0,3.0,3.0,BKK,Urban,Home,29,mobile,8000,High School,BKK,BKK3,3.5,3.75,3.25,3.0,3,Parents,Together,Doctoral,Doctoral,Father,Private,Freelance,750000,3.0,2.5,3.5,2.0,3.5,2.5,3.0,4.0,1.5,4.0,1.5,3.06,No,No,Medium
89,2020.0,2.0,3.0,NE,Urban,Apartment,89,wifi,10000,High School,NE,NE1,3.25,3.25,3.0,3.75,3,Alone,Together,Doctoral,Doctoral,Father,Private,Freelance,1120000,3.0,3.0,3.0,2.0,3.5,2.0,3.5,3.0,1.5,3.0,1.5,2.92,No,No,High
91,2020.0,3.0,0.0,S,Rural,Apartment,61,wifi,15000,High School,BKK,BKK6,2.75,3.0,1.5,1.75,3,Alone,Together,Bachelor,Vocational,Father,Private,Freelance,880000,2.5,2.0,3.0,1.5,1.5,2.0,2.5,3.0,1.0,2.5,3.0,2.49,No,No,Low
92,2020.0,3.0,0.0,E,Rural,Apartment,60,wifi,15000,High School,E,E2,1.5,1.75,1.75,2.0,4,Alone,Together,Master,Doctoral,Mother,Private,Public,910000,1.5,2.0,2.0,0.5,2.5,0.5,2.0,2.0,2.0,1.5,2.5,2.15,No,No,No
93,2020.0,3.0,18.0,BKK,Urban,Home,37,wifi,15000,High School,BKK,BKK2,3.25,2.75,3.0,3.75,3,Parents,Together,Master,Doctoral,Mother,Public,Public,2740000,3.0,3.5,4.0,2.0,3.5,2.5,3.5,3.0,2.0,3.0,3.0,3.27,No,No,Medium
94,2020.0,3.0,18.0,BKK,Urban,Home,90,wifi,15000,High School,BKK,BKK5,3.25,3.5,3.5,3.75,4,Parents,Together,Doctoral,Doctoral,Mother,Private,Freelance,2450000,3.0,4.0,4.0,2.0,3.0,3.0,3.5,2.5,2.5,3.0,3.0,3.23,No,No,Medium
96,2020.0,2.0,3.0,BKK,Urban,Home,36,wifi,11000,High School,BKK,BKK3,1.5,1.75,1.75,1.75,3,Parents,Together,High School,Primary,Father,Freelance,Private,510000,1.5,1.0,1.0,0.5,2.0,1.0,1.5,2.0,0.0,2.0,1.5,1.82,No,No,No
97,2020.0,2.0,18.0,BKK,Urban,Home,44,wifi,15000,Vocational School,BKK,BKK9,1.5,2.0,1.75,1.75,3,Relatives,Apart,Bachelor,Bachelor,Mother,Business,Freelance,2020000,1.5,1.0,1.5,1.0,2.5,1.0,1.5,2.5,1.0,2.0,1.5,2.0,No,No,High
99,2020.0,1.0,3.0,BKK,Urban,Home,42,mobile,8000,Vocational School,BKK,BKK8,3.25,3.5,3.5,3.25,3,Parents,Together,Bachelor,Bachelor,Father,Private,Private,700000,3.0,2.5,2.0,2.5,4.0,1.5,3.5,3.0,3.0,3.5,3.5,3.14,No,No,Medium
100,2020.0,2.0,18.0,BKK,Urban,Home,7,wifi,9000,High School,BKK,BKK3,2.25,1.75,2.25,1.75,3,Mom or Dad,Apart,Doctoral,Doctoral,Father,Freelance,Private,950000,2.0,2.0,3.0,1.0,1.5,1.0,2.5,2.0,2.0,1.5,3.0,2.13,No,No,High
101,2020.0,2.0,0.0,E,Urban,Apartment,16,wifi,12000,High School,BKK,BKK9,2.75,3.25,2.25,3.5,3,Alone,Together,Master,Master,Father,Freelance,Freelance,1110000,2.5,2.5,2.5,1.5,2.5,2.5,2.0,2.0,1.0,2.0,1.5,2.23,No,No,High
102,2020.0,2.0,18.0,BKK,Urban,Home,22,wifi,14000,Vocational School,BKK,BKK9,1.75,1.75,1.75,1.75,3,Mom or Dad,Apart,Doctoral,Master,Father,Freelance,Public,1010000,1.5,1.0,2.0,1.0,1.5,2.0,1.5,2.0,1.0,2.0,3.5,2.11,No,No,High
103,2020.0,2.0,0.0,S,Rural,Apartment,51,mobile,4000,High School,S,S3,2.0,1.75,2.25,1.75,3,Alone,Together,Vocational,High School,Father,Private,Public,460000,2.0,1.5,1.5,1.0,2.0,2.5,2.5,1.5,1.5,2.5,3.0,2.13,No,No,High
104,2020.0,3.0,3.0,E,Urban,Apartment,10,wifi,11000,High School,E,E5,2.5,2.0,2.75,3.0,3,Alone,Apart,Vocational,High School,Mother,Freelance,Public,480000,2.0,1.5,2.0,0.5,2.0,0.5,2.5,2.5,1.5,2.5,2.5,2.32,No,No,Medium
105,2020.0,1.0,19.0,BKK,Urban,Home,73,mobile,5000,Vocational School,BKK,BKK4,1.75,2.25,2.25,1.75,3,Parents,Together,Master,Doctoral,Mother,Public,Private,630000,1.5,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.5,2.5,1.79,No,No,No
106,2020.0,3.0,18.0,BKK,Urban,Home,35,mobile,15000,High School,BKK,BKK4,2.75,2.75,2.25,3.0,3,Parents,Together,Master,Doctoral,Mother,Freelance,Private,3650000,2.0,2.0,3.0,1.5,2.0,2.0,2.5,2.0,0.5,2.5,1.5,2.23,No,No,No
107,2020.0,3.0,18.0,BKK,Urban,Home,46,wifi,11000,High School,BKK,BKK6,2.5,2.25,3.0,2.0,3,Parents,Together,Bachelor,Bachelor,Mother,Private,Freelance,700000,2.5,1.5,2.0,2.0,2.5,2.0,2.5,1.5,2.5,2.5,3.5,2.47,No,No,Medium
108,2020.0,2.0,0.0,E,Urban,Apartment,28,wifi,15000,High School,E,E7,1.75,1.75,3.5,1.5,2,Alone,Apart,Bachelor,Master,Mother,Freelance,Private,1140000,1.5,2.5,2.5,1.0,2.5,1.0,1.5,0.5,1.0,1.5,2.5,1.92,No,No,High
109,2020.0,2.0,4.0,BKK,Urban,Home,22,wifi,15000,Vocational School,BKK,BKK1,3.0,3.0,2.75,2.0,4,Parents,Together,Master,Master,Father,Business,Freelance,2560000,2.5,2.5,2.5,1.5,2.5,3.0,3.0,2.5,1.5,3.5,0.0,2.66,No,No,High
110,2020.0,2.0,19.0,BKK,Urban,Home,23,wifi,8000,Vocational School,BKK,BKK5,3.0,2.5,3.5,2.75,3,Parents,Together,Doctoral,Doctoral,Mother,Business,Freelance,900000,2.5,3.0,3.5,1.5,2.0,1.5,3.5,2.5,2.0,3.0,1.5,2.73,No,No,No
112,2020.0,3.0,4.0,S,Urban,Apartment,57,mobile,15000,High School,S,S7,1.75,2.0,2.25,1.75,4,Alone,Together,Bachelor,Vocational,Father,Private,Public,930000,1.5,1.0,1.5,0.5,2.5,1.0,1.0,1.5,1.0,1.5,4.0,1.86,No,No,Medium
114,2020.0,3.0,18.0,BKK,Urban,Home,42,wifi,15000,High School,BKK,BKK4,3.0,2.75,3.25,3.25,4,Parents,Together,Master,Master,Father,Private,Public,1830000,3.0,2.5,3.0,2.0,2.5,4.0,3.0,3.0,3.0,3.0,4.0,3.27,Yes,No,Medium
115,2020.0,2.0,19.0,BKK,Urban,Home,46,wifi,15000,Vocational School,BKK,BKK3,2.5,3.0,2.25,2.5,4,Parents,Together,Master,Doctoral,Father,Public,Public,3500000,2.0,2.0,2.0,1.5,3.0,1.0,2.5,2.0,1.0,1.5,2.5,2.16,No,No,Low
116,2020.0,2.0,18.0,BKK,Urban,Home,18,wifi,15000,Vocational School,BKK,BKK8,2.0,1.75,1.75,2.0,3,Parents,Together,Master,Doctoral,Father,Private,Public,2970000,1.5,1.5,2.5,0.5,2.5,0.0,1.5,2.0,1.0,1.5,2.0,1.79,No,No,High
117,2020.0,2.0,0.0,E,Rural,Apartment,5,wifi,15000,High School,E,E10,3.5,3.75,3.0,3.0,3,Roommates,Apart,Doctoral,Doctoral,Mother,Public,Business,2820000,3.0,4.0,3.5,2.0,2.5,3.0,3.0,4.0,2.0,3.0,2.0,3.18,Yes,No,Medium
