Student_ID,Year_of_Entry,TCAS_channels_,Gender,Age,Years_Living_in_BKK,Hometown REGION,Address_Type,Where_to_stay,Time_spent_for_traveling,InternetAccess_at_Home,Living_expenses_,Type_of_prior_school,Prior_School_Province REGION,School name,Math,Physics_,Chemistry_,Biology_,Family_Size,Stay_with,Family_status,Father_Education,Mother_Education,guardian,mother's_job,father's_job,Household_income,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry_,Statistics_,Computer_Programming,Thermodynamics_,Engineering_Materials_,Engineering_Drawing,University_GPAx 1st year,Scholarship : Excellent Performance,Scholarship : Financial Aid,Participation_on_Activities
0047,2020,2,Female,18,3,BKK,Urban,Home,34,Wifi,10000,High School,BKK,BKK5,3,4,3.5,3.5,3,Parents,Together,Master,Bachelor,Father,Public,Public,1040000,3,3,3.5,3,2,1.5,3.5,3,4,3,1.5,2.89,No,No,Medium
0048,2020,2,Male,18,3,NE,Urban,Apartment,37,Wifi,44000,High School,NE,NE9,2,3.5,3.5,2.5,3,Alone,Together,Bachelor,Bachelor,Father,Public,Freelance,5310000,1.5,1.5,2,1.5,1.5,1,2,1.5,1,2,1,1.91,No,No,No
0049,2020,2,Female,18,0,NE,Rural,Apartment,33,Wifi,40000,High School,BKK,BKK7,4,3.5,3,2.5,3,Alone,Together,Bachelor,Bachelor,Father,Freelance,Public,4780000,4,4,4,4,3.5,3,4,4,3.5,4,4,3.85,No,No,Medium
0050,2020,3,Male,18,0,S,Rural,Apartment,67,Wifi,12000,Vocational School,S,S7,3,4,4,4,3,Alone,Together,High School,High School,Mother,Business,Business,490000,2.5,2,2,2.5,2,1,2.5,2,1.5,2,2,2.33,No,No,Low
0051,2020,3,Male,18,18,BKK,Urban,Home,29,Wifi,15000,High School,BKK,BKK3,3,4,2.5,4,3,Parents,Together,Bachelor,Master,Father,Business,Business,760000,3,3,3.5,3,3,1.5,3.5,3,3,3,3.5,3.06,No,No,Low
0052,2020,2,Male,18,18,BKK,Urban,Home,68,Wifi,5000,High School,BKK,BKK4,4,4,3,4,4,Parents,Together,Doctoral,Master,Mother,Public,Freelance,610000,3.5,3.5,3.5,4,3.5,1.5,3.5,3.5,3,3,0.5,3.06,Yes,Yes,No
0053,2020,3,Male,18,18,BKK,Urban,Home,61,Wifi,6000,High School,BKK,BKK7,4,4,2.5,3,3,Parents,Together,Bachelor,Bachelor,Father,Private,Freelance,250000,3.5,3,3.5,4,4,1.5,3.5,3.5,4,3,2.5,3.36,No,No,Medium
0054,2020,2,Female,18,0,E,Urban,Apartment,77,Wifi,42000,High School,E,E8,4,4,2,3.5,4,Alone,Together,Bachelor,Master,Father,Business,Private,5000000,3.5,2.5,3,4,4,3.5,4,3.5,3.5,3,1.5,3.41,No,No,Medium
0055,2020,2,Male,18,0,NE,Urban,Apartment,6,Wifi,52000,High School,NE,NE6,4,2,3.5,2,3,Alone,Together,Bachelor,Bachelor,Father,Freelance,Business,6280000,3,2.5,3,3,3,2.5,3,3,2,3,3.5,2.93,No,No,Medium
0056,2020,3,Male,18,3,N,Rural,Apartment,89,Mobile,12000,High School,N,N3,2.5,2,3,2,3,Alone,Together,Bachelor,Master,Father,Public,Private,650000,2.5,3,4,2.5,2,2.5,2.5,2.5,3.5,3,1,2.73,No,No,High
0057,2020,2,Male,18,0,S,Urban,Apartment,61,Mobile,8000,High School,S,S5,2.5,2.5,3,2,2,Alone,Apart,Doctoral,Doctoral,Mother,Business,Freelance,830000,2,1,1,1.5,1.5,2,2.5,2.5,1,2,1.5,2.11,No,No,No
0058,2020,3,Male,18,18,BKK,Urban,Home,43,Wifi,51000,Vocational School,BKK,BKK8,3,3.5,3,3.5,4,Parents,Together,Doctoral,Doctoral,Mother,Public,Public,6140000,2.5,1.5,1.5,2.5,2,2.5,2,2.5,1.5,3,1.5,2.37,No,No,Low
0059,2020,2,Female,18,18,BKK,Urban,Home,26,Wifi,9000,Vocational School,BKK,BKK5,2,3.5,2.5,3,2,Mom or Dad,Apart,Doctoral,Master,Mother,Private,Public,1010000,1.5,1.5,2,1.5,1,1.5,2,1.5,0,1,3,1.79,No,No,High
0060,2020,3,Female,18,3,BKK,Urban,Apartment,77,Mobile,15000,High School,BKK,BKK3,2.5,2.5,4,2,3,Alone,Together,Doctoral,Master,Father,Freelance,Private,680000,2.5,2.5,3,3,3.5,2,3,2.5,3,3,3,3.05,No,No,Medium
0061,2020,2,Female,18,0,N,Rural,Apartment,60,Wifi,34000,High School,N,N1,4,4,2,2.5,3,Alone,Together,Doctoral,Master,Mother,Private,Business,4130000,3.5,3.5,4,3,3,2.5,3.5,3.5,3.5,4,4,3.54,No,No,Medium
0062,2020,2,Female,18,0,S,Urban,Apartment,10,Mobile,12000,High School,S,S9,3.5,4,3,2,3,Alone,Apart,High School,Vocational,Mother,Business,Public,470000,3,4,4,3,3,3.5,4,3,2.5,2,1.5,3.11,Yes,No,No
0063,2020,3,Female,18,0,S,Urban,Apartment,65,Mobile,47000,High School,S,S3,3.5,2,2,4,4,Alone,Together,Bachelor,Vocational,Father,Business,Business,5590000,3.5,3.5,4,3.5,2.5,4,4,3.5,3.5,3.5,2.5,3.4,No,No,High
0064,2020,2,Male,18,0,NE,Urban,Apartment,72,Wifi,5000,High School,NE,NE8,3.5,2,3,2.5,4,Roommates,Together,Primary,Primary,Father,Public,Public,350000,3,2.5,3,3,3.5,2.5,3,2.5,1,4,2,2.96,Yes,No,High
0065,2020,2,Female,18,0,NE,Urban,Apartment,50,Wifi,34000,High School,BKK,BKK1,2,3.5,2,4,4,Alone,Together,Bachelor,Master,Mother,Public,Business,4030000,1.5,2,3,1.5,1,1.5,2.5,2.5,1.5,1,1.5,2.17,No,No,Medium
0066,2020,3,Female,18,3,S,Rural,Apartment,10,Wifi,49000,High School,S,S8,3,3.5,2.5,3.5,3,Alone,Together,Bachelor,Master,Father,Private,Business,5830000,2.5,2.5,3,2.5,2,1.5,2,2.5,3,2.5,1,2.32,No,No,Low
0067,2020,2,Male,18,18,BKK,Urban,Home,51,Wifi,8000,Vocational School,BKK,BKK6,3,3.5,4,4,3,Mom or Dad,Apart,Bachelor,Vocational,Father,Freelance,Freelance,1010000,3,3.5,4,3.5,3.5,2,3,3.5,2,3,0,2.83,No,No,Medium
0068,2020,3,Male,18,0,S,Rural,Apartment,63,Wifi,14000,High School,S,S5,2.5,2.5,4,2.5,3,Alone,Together,Master,Master,Mother,Freelance,Public,1350000,2,1.5,1.5,2.5,2,1.5,2.5,1.5,1,3,3,2.12,No,No,Low
0069,2020,3,Female,18,0,S,Urban,Apartment,80,Wifi,11000,High School,S,S4,3,3,2,4,3,Alone,Together,Master,Master,Father,Business,Business,1100000,3,3,3,3.5,3.5,2.5,3,2.5,3.5,3,4,3.3,No,No,High
0070,2020,2,Female,18,18,BKK,Urban,Apartment,10,Wifi,30000,High School,BKK,BKK5,3,4,2,4,3,Alone,Together,Doctoral,Master,Father,Public,Public,3620000,3,3.5,4,3.5,3.5,3,3.5,3,2.5,2.5,3.5,3.38,No,No,Medium
0071,2020,3,Male,18,3,S,Urban,Apartment,82,Wifi,7000,High School,S,S2,3,2,4,4,3,Alone,Together,High School,Primary,Mother,Public,Private,270000,3,3,3,3.5,4,3,3,3.5,1.5,3.5,2.5,3.13,Yes,No,Medium
0072,2020,3,Female,18,18,BKK,Urban,Home,9,Wifi,17000,Vocational School,BKK,BKK6,2.5,4,2.5,2.5,2,Mom or Dad,Apart,Doctoral,Doctoral,Father,Freelance,Private,710000,2,1.5,1.5,2,1.5,2,1.5,2,1.5,2,3,2.26,No,Yes,Medium
0073,2020,2,Female,18,0,S,Rural,Apartment,65,Wifi,9000,Vocational School,S,S6,3,2,3.5,4,2,Alone,Apart,Master,Bachelor,Mother,Public,Business,1010000,2.5,2,4,3,4,3,2.5,2.5,2.5,2.5,3.5,2.89,Yes,No,Medium
0074,2020,3,Male,19,19,BKK,Urban,Home,63,Mobile,12000,High School,BKK,BKK4,2.5,2,2.5,4,2,Mom or Dad,Apart,Bachelor,Bachelor,Mother,Public,Public,460000,2,1.5,2,2,2,1,2.5,2,1.5,2,2,2.07,No,Yes,Medium
0075,2020,3,Male,19,4,NE,Urban,Apartment,87,Wifi,10000,High School,NE,NE6,3.5,2,3.5,4,4,Alone,Together,Bachelor,Master,Mother,Public,Public,860000,3,3.5,3.5,3.5,4,2,4,3,2,4,2,3.17,Yes,No,Medium
0076,2020,3,Female,18,18,BKK,Urban,Home,62,Wifi,44000,High School,BKK,BKK9,2,2.5,3,3.5,3,Parents,Together,Master,Bachelor,Father,Business,Private,5320000,1.5,1.5,1.5,1,1,1.5,1.5,1.5,0,1,2.5,1.78,No,No,Medium
0077,2020,2,Male,18,18,BKK,Urban,Home,85,Wifi,15000,Vocational School,BKK,BKK8,2,4,3,2.5,3,Parents,Together,Doctoral,Doctoral,Mother,Freelance,Private,1190000,2,2,2,2,1.5,2,2,2,1,2.5,1.5,2.01,No,No,High
0078,2020,2,Male,18,0,S,Urban,Apartment,55,Wifi,49000,High School,BKK,BKK7,4,2,3,2.5,3,Roommates,Together,Bachelor,Vocational,Father,Business,Public,5890000,3,3,3,3.5,3,3.5,2.5,3.5,2.5,3,3,3.21,No,No,Low
0079,2020,2,Female,18,18,BKK,Urban,Home,68,Wifi,12000,High School,BKK,BKK3,2.5,2.5,4,3.5,3,Parents,Together,Master,Bachelor,Father,Freelance,Public,810000,1.5,1,1.5,1,1,1.5,2,1.5,1,1.5,3.5,1.99,No,No,Medium
0080,2020,2,Female,19,19,BKK,Urban,Home,16,Wifi,36000,High School,BKK,BKK8,2,4,2,3.5,4,Parents,Together,Master,Bachelor,Father,Public,Private,4290000,1.5,1.5,1.5,2,2.5,0.5,1.5,0.5,1,2,2.5,1.81,No,No,Medium
0081,2020,3,Male,18,18,BKK,Urban,Home,8,Wifi,50000,Vocational School,BKK,BKK10,3.5,3.5,2,3.5,3,Parents,Together,Bachelor,Vocational,Father,Business,Business,5950000,3,2.5,3,3.5,2.5,2.5,3.5,4,2.5,3.5,2.5,2.94,No,No,Medium
0082,2020,2,Male,18,0,NE,Urban,Apartment,80,Wifi,11000,High School,BKK,BKK3,3.5,2.5,3.5,4,4,Alone,Together,Master,Master,Father,Business,Business,1040000,3,3.5,4,3,2,1.5,3.5,3,1.5,3,0.5,2.79,No,No,No
0083,2020,3,Male,19,19,BKK,Urban,Home,90,Wifi,46000,High School,BKK,BKK10,2.5,2.5,4,3,3,Parents,Together,Doctoral,Doctoral,Father,Private,Freelance,5530000,2.5,2.5,3.5,2,2,2,2.5,2,2,3.5,2,2.45,No,No,Medium
0084,2020,3,Female,18,0,NE,Urban,Apartment,62,Wifi,37000,High School,NE,NE1,3.5,3,3.5,2,3,Alone,Together,Bachelor,Vocational,Father,Freelance,Business,4460000,3,3.5,4,3,4,4,3,3.5,3,3.5,3.5,3.44,No,No,Medium
0085,2020,2,Male,18,18,BKK,Urban,Home,89,Wifi,6000,High School,BKK,BKK10,3,4,3,3.5,3,Parents,Together,Primary,Primary,Father,Business,Business,250000,3,2,2,3.5,4,3.5,4,2.5,2.5,2.5,2,2.89,No,Yes,Medium
0086,2020,2,Male,18,18,BKK,Urban,Apartment,85,Wifi,11000,Vocational School,BKK,BKK10,2.5,3.5,2.5,3,2,Alone,Apart,Master,Doctoral,Father,Business,Freelance,1260000,2.5,2.5,4,2.5,2,2.5,3,2.5,1,2.5,2.5,2.5,No,No,Low
0087,2020,2,Female,18,3,NE,Rural,Apartment,80,Wifi,12000,High School,NE,NE10,2.5,2.5,3,4,2,Alone,Apart,Doctoral,Master,Mother,Business,Public,910000,2.5,1.5,1,2.5,2.5,2.5,3,3,2.5,2.5,4,2.62,No,No,High
0088,2020,2,Female,18,18,BKK,Urban,Apartment,16,Wifi,9000,Vocational School,BKK,BKK8,3,2.5,3,3.5,3,Alone,Apart,Bachelor,Master,Mother,Public,Public,920000,2.5,2,2.5,2.5,2,3,3,2.5,2.5,3,3.5,2.65,No,No,Medium
0089,2020,2,Female,18,3,NE,Rural,Apartment,41,Mobile,31000,High School,NE,NE6,4,3.5,3,2.5,3,Alone,Together,Bachelor,Master,Mother,Business,Private,3670000,4,4,4,4,3,3,4,4,3,4,3.5,3.59,No,No,Medium
0090,2020,2,Male,18,0,S,Urban,Apartment,36,Wifi,32000,High School,BKK,BKK3,3,4,4,4,4,Alone,Together,Bachelor,Bachelor,Father,Freelance,Business,3860000,2.5,2.5,3.5,3,3,2.5,3,3,3,2,2.5,2.76,No,No,High
0091,2020,3,Male,18,3,NE,Urban,Apartment,83,Wifi,10000,High School,BKK,BKK1,3.5,3.5,2.5,2.5,4,Alone,Together,Bachelor,Vocational,Mother,Private,Freelance,660000,3.5,2.5,3.5,4,4,3,4,3.5,3,4,1,3.41,No,No,Medium
0092,2020,3,Male,18,0,S,Rural,Apartment,22,Wifi,7000,Vocational School,S,S2,2.5,4,2,3,3,Alone,Together,Bachelor,Master,Father,Business,Private,790000,2.5,2.5,3,2.5,2,2.5,3,3.5,1,3.5,3,2.79,Yes,No,Medium
0093,2020,2,Female,18,0,N,Rural,Apartment,31,Mobile,53000,High School,BKK,BKK4,3.5,3,2,2.5,4,Alone,Together,Master,Doctoral,Father,Business,Freelance,6380000,3,2.5,3,3,2.5,1,3.5,3.5,2,3,2,2.75,No,No,Low
0094,2020,2,Male,18,0,NE,Rural,Apartment,78,Wifi,12000,High School,NE,NE2,2.5,2,3,2.5,3,Roommates,Together,Master,Master,Father,Private,Private,870000,2,2.5,3,2,1.5,1.5,3,2,2,2,2,2.25,No,No,High
0095,2020,2,Male,18,3,N,Urban,Apartment,64,Wifi,36000,High School,N,N8,2.5,3.5,2.5,2.5,3,Alone,Together,Master,Doctoral,Father,Private,Private,4280000,2,2,2.5,2,2,2,2,2,0,2.5,4,2.19,No,No,High
0096,2020,3,Male,18,18,BKK,Urban,Apartment,39,Wifi,6000,High School,BKK,BKK6,2,3.5,3,4,3,Alone,Together,Vocational,High School,Father,Business,Private,250000,1.5,1.5,2.5,2,2.5,1,1.5,1.5,1,1,2,2.08,No,No,Medium
0097,2020,3,Male,18,3,BKK,Urban,Home,5,Mobile,6000,High School,BKK,BKK7,3,3.5,3.5,3.5,3,Parents,Together,Primary,High School,Mother,Private,Business,250000,2.5,2.5,2.5,2.5,3,2,2.5,3,2.5,3,2.5,2.77,No,No,Low
0098,2020,2,Female,18,18,BKK,Urban,Home,67,Wifi,13000,Vocational School,BKK,BKK9,3.5,4,2.5,3,4,Parents,Together,Master,Bachelor,Father,Freelance,Private,800000,2.5,2.5,3.5,2.5,2,1.5,2,3,2.5,2.5,4,2.57,No,Yes,Medium
0099,2020,2,Female,18,18,BKK,Urban,Home,8,Wifi,37000,Vocational School,BKK,BKK5,4,2.5,3.5,2,4,Parents,Together,Doctoral,Doctoral,Father,Public,Public,4480000,3.5,4,4,3,3,1,4,2.5,2,3.5,2.5,3.08,No,No,High
