Student_ID,Year_of_Entry,Hometown REGION,Address_Type,Where_to_stay,Age,Years_Living_in_BKK,Time_spent_for_traveling,Type_of_prior_school,Math,Physics_,Chemistry_,Biology_,Gender,Family_Size,Stay_with,Family_status,Prior_School_Province,Calculus_1,Calculus_2,Calculus_3,Physics_1,Physics_2,Chemistry_,Statistics_,Computer_Programming,Thermodynamics_,Engineering_Materials_,Engineering_Drawing,Household_income,Living_expenses_,University_GPAx,TCAS_channels_,InternetAccess_at_Home,Father_Education,Mother_Education,guardian,mother's_job,father's_job,Participation_on_Activities
19,2020,S,U,A,18,0,15,H,3.5,3,3,4,F,4,A,T,S,3,2.5,3.5,3.5,3,3,3.5,3,3.5,4,4,1310000,5000,3.43,3,W,M,D,M,Pri,Bus,N
20,2020,E,U,A,18,0,10,V,3.5,3.5,4,2,F,4,A,T,BKK,3,3,3.5,3,3,3,3,2.5,2,3,1,890000,11000,2.68,1,W,M,D,F,Pub,Pub,M
21,2020,S,U,H,18,0,30,H,4,2.5,3,3.5,M,4,P,T,S,3.5,3.5,4,3.5,4,2.5,3,4,4,4,2.5,410000,10000,3.56,2,W,V,B,F,Pri,Free,N
22,2020,E,U,A,18,3,15,H,3,2.5,2.5,2,M,3,A,T,E,2.5,3,4,2,2.5,3.5,3,2.5,1,2.5,2.5,490000,3000,2.77,3,W,B,V,F,Bus,Free,M
23,2020,BKK,U,H,18,3,10,V,4,4,3.5,4,M,4,P,T,BKK,3.5,3,3.5,4,3.5,3,3.5,3.5,3,3.5,1.5,530000,9000,3.3,1,W,P,H,F,Pub,Pub,N
24,2020,N,U,A,18,0,30,H,2.5,2.5,3.5,3.5,F,3,A,T,N,2.5,2.5,4,3,3.5,2.5,2,2.5,3.5,3,2.5,580000,10000,2.99,2,W,P,H,M,Free,Bus,H
25,2020,BKK,U,H,18,18,55,V,2,4,3,2.5,M,3,P,T,BKK,1.5,1,1.5,1.5,1.5,1,1.5,1.5,0.5,2.5,2,920000,12000,1.74,1,W,M,B,F,Bus,Free,L
26,2020,N,U,A,18,3,5,H,3,4,4,2,M,4,RM,T,N,2.5,2.5,3,2.5,2.5,1.5,3,3,2,2.5,3.5,1060000,3000,2.75,2,W,M,M,F,Pub,Pub,L
27,2020,BKK,U,H,18,18,70,V,3,4,2,2,M,3,P,T,BKK,3,3.5,4,3,3,1,3,3,2,3,3,540000,7000,3.03,1,W,V,V,F,Pri,Pri,M
28,2020,S,U,A,18,0,35,H,4,3,4,4,M,4,A,T,S,3.5,4,4,4,4,3,4,4,3.5,3,2.5,510000,4000,3.63,2,W,V,H,F,Free,Bus,N
29,2020,N,U,H,18,0,45,H,4,4,2,2,M,4,P,T,N,3.5,3,3,3.5,4,4,3.5,4,3,3.5,2,1130000,10000,3.39,2,W,B,B,F,Pri,Pri,N
30,2020,N,R,A,18,0,5,H,3,4,2.5,4,M,2,A,A,BKK,2.5,3,4,2,1,1,2.5,3.5,1,2,1.5,860000,12000,2.26,2,W,D,D,M,Pub,Un,L
31,2020,NE,U,A,18,3,5,H,2.5,4,3.5,3,F,4,A,T,NE,2.5,2.5,3.5,2.5,2.5,2.5,3,3.5,2,2.5,1,700000,5000,2.63,2,M,D,M,F,Bus,Pri,M
32,2020,S,R,A,18,3,25,H,2.5,2.5,3.5,3,F,3,RM,T,S,2,2.5,3.5,2.5,2.5,2.5,2,2.5,1,2,2.5,520000,12000,2.41,3,W,B,V,F,Pub,Free,H
33,2020,S,R,A,18,0,15,H,3.5,3,2.5,2.5,M,4,A,T,S,3.5,2.5,2.5,3.5,4,2.5,4,3.5,2,3.5,2,560000,7000,3.21,2,W,V,H,F,Pri,Pri,N
34,2020,N,U,A,19,0,15,H,4,2.5,4,3,M,4,A,T,N,3.5,2.5,2.5,3.5,4,4,4,3.5,2,4,2,1470000,3000,3.28,2,W,D,M,M,Free,Free,H
35,2020,BKK,U,H,18,18,50,V,2,4,2,2,F,4,P,T,BKK,1.5,2,2.5,2,2,0,1.5,1,0,2,1.5,540000,7000,1.87,2,W,H,V,F,Free,Free,L
36,2020,S,R,A,18,0,5,V,3,3.5,2,2.5,M,4,A,T,BKK,2.5,3,2.5,2.5,2,2,3,3,1.5,3,3,510000,13000,2.83,1,M,H,V,M,Pri,Pri,L
37,2020,BKK,U,H,19,4,55,H,4,2,3.5,3.5,M,3,P,T,BKK,3.5,3.5,4,4,4,2.5,3,4,2.5,3,4,820000,3000,3.5,3,W,D,M,F,Pub,Pri,H
38,2020,BKK,U,A,19,19,10,H,2.5,2.5,2.5,2,M,3,RM,T,BKK,2,2.5,2.5,2.5,2.5,3,2,2,2.5,2.5,2,500000,12000,2.66,2,W,B,V,F,Bus,Pri,M
39,2020,BKK,U,H,18,18,95,V,3.5,3.5,3.5,2,M,2,MoD,A,BKK,3,2,2,3,3.5,3,3.5,3.5,3.5,4,4,490000,9000,3.34,1,W,V,H,M,Pri,Un,N
40,2020,N,U,A,18,0,60,H,3,3.5,2,2.5,M,3,A,T,N,2.5,2.5,2,3,3,1,3,2.5,2.5,3,1,510000,11000,2.68,3,M,H,H,F,Pub,Pub,H
41,2020,BKK,U,H,18,18,50,H,2,4,4,4,M,4,P,T,BKK,2,2,3,2,2.5,3,2.5,2.5,2.5,2.5,3.5,460000,5000,2.79,2,W,V,H,F,Free,Pri,H
42,2020,BKK,U,H,18,18,65,H,4,3.5,3,2.5,F,4,P,T,BKK,3.5,3,3.5,4,3.5,2,4,3.5,3,3.5,2.5,1150000,11000,3.3,3,W,D,D,M,Free,Bus,L
43,2020,NE,U,A,19,0,55,H,2.5,3.5,4,2,F,4,A,T,NE,2.5,2,2.5,3,4,2.5,3,2.5,1.5,2.5,2,650000,7000,2.63,3,M,D,D,F,Free,Pri,H
44,2020,S,U,A,18,0,25,H,3,2.5,2,4,M,3,RM,T,S,2.5,3,2.5,2.5,3,2,2,2.5,2.5,2.5,1,1050000,3000,2.68,3,W,B,V,F,Free,Bus,L
45,2020,S,U,A,18,0,15,H,4,4,2,2,F,4,A,T,S,3.5,3,4,3.5,4,4,4,4,3,4,3,500000,10000,3.65,2,W,H,V,F,Pub,Free,L
46,2020,BKK,U,H,18,18,30,V,2.5,2.5,3,4,F,3,P,T,BKK,2.5,2.5,3.5,3,3.5,2,3,2.5,2,3,4,510000,3000,2.87,2,W,V,H,F,Pub,Pri,H
47,2020,BKK,U,H,18,18,45,H,2.5,2,2.5,4,M,3,P,T,BKK,2.5,2,3,2.5,3,2.5,2,3,2.5,2,3.5,1120000,7000,2.77,3,W,B,B,M,Bus,Pri,N
48,2020,NE,U,A,19,0,10,V,4,4,2.5,3,M,4,A,T,NE,3.5,3.5,4,3.5,2.5,3,3,4,3,4,2,1400000,12000,3.36,3,W,D,M,F,Free,Pri,H
49,2020,NE,R,A,18,0,15,H,2.5,4,3.5,2.5,F,3,A,T,NE,2.5,2.5,3.5,2.5,3,1.5,2.5,3,3,3.5,1.5,1560000,10000,2.67,2,M,M,D,F,Pub,Free,M
50,2020,S,R,A,18,0,5,H,2.5,3.5,3,3.5,F,3,A,T,S,2,2,2,2.5,2,2.5,2.5,2.5,1.5,3,4,540000,12000,2.66,2,W,P,H,F,Free,Pub,N
51,2020,BKK,U,A,18,18,15,V,2,2,4,3.5,F,2,A,A,BKK,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,1,1.5,1,490000,5000,1.95,1,W,P,H,M,Pub,Un,H
52,2020,BKK,U,A,18,18,15,H,2.5,2.5,4,2,M,2,RM,A,BKK,2.5,2,2,3,3,2.5,2.5,3,1.5,2,1,500000,8000,2.43,3,W,V,V,F,Un,Free,H
53,2020,BKK,U,A,18,18,55,H,3.5,2.5,2,4,F,4,A,T,BKK,3.5,4,4,3.5,3.5,3.5,3.5,4,2.5,3,1.5,1170000,12000,3.31,2,W,M,D,M,Pub,Pub,N
54,2020,E,U,A,19,0,10,H,2,3.5,4,3.5,M,3,RM,T,BKK,1.5,2,2,1.5,1.5,1.5,1.5,1.5,0.5,1.5,1.5,500000,3000,1.73,2,W,P,P,F,Bus,Pri,L
55,2020,NE,U,H,20,0,20,H,2,4,3.5,2,F,3,P,T,NE,1.5,1,1.5,1.5,0.5,1,1.5,1.5,1.5,2,1,700000,5000,1.69,2,M,B,V,F,Pub,Free,N
56,2020,N,U,A,18,0,15,H,4,2.5,2,2,F,2,A,A,N,3.5,3.5,4,3,3.5,4,3.5,3.5,4,4,4,500000,8000,3.72,3,W,B,V,M,Pub,Un,N
57,2020,S,U,A,18,0,15,H,3,3.5,3,4,M,3,A,T,BKK,3,3,3,2.5,3,2.5,2.5,3,2.5,3,4,660000,3000,3.12,3,W,D,D,M,Free,Bus,L
58,2020,BKK,U,A,18,18,40,V,3.5,2,4,3.5,M,4,A,T,BKK,3,2.5,3,3,2.5,2.5,3,3,1.5,4,1.5,910000,12000,2.94,1,W,D,D,F,Pub,Free,N
59,2020,BKK,U,H,19,4,45,H,2,2,3,3.5,F,3,P,T,BKK,1.5,0.5,1,2,1.5,1,2,1,1.5,2,2.5,510000,4000,1.87,3,M,P,H,M,Free,Free,L
60,2020,BKK,U,H,19,19,25,H,2.5,3.5,4,3.5,M,4,P,T,BKK,2.5,2,2,2.5,2.5,3,3.5,2,1.5,3,1,780000,4000,2.61,3,W,B,B,F,Pub,Bus,N
61,2020,N,U,A,18,0,5,H,2,4,3.5,4,F,3,A,T,BKK,2,2,3,2,2.5,2,2,2,1.5,2.5,2.5,1050000,10000,2.34,2,W,D,D,F,Bus,Bus,N
62,2020,S,R,A,18,0,15,H,2.5,4,3.5,2.5,F,3,A,T,S,2.5,2,2,3,3.5,2,2.5,3.5,1,2,3,480000,3000,2.64,2,W,P,P,F,Pri,Bus,M
63,2020,S,U,A,18,0,10,H,3.5,3.5,3,2,M,5,A,T,S,3.5,3,4,3.5,3,2.5,3,3.5,4,4,4,490000,10000,3.54,3,W,V,B,F,Free,Bus,N
64,2020,NE,U,A,19,0,5,H,2,2,3,2,M,3,A,T,NE,2,2,2.5,2,1.5,2.5,2.5,2.5,1.5,2.5,0,1310000,4000,2.12,2,W,B,V,F,Free,Free,M
65,2020,NE,R,A,19,0,55,H,2.5,2.5,3.5,2.5,M,4,A,T,NE,2,2,2.5,1.5,1,2,2,2.5,1.5,2.5,2,1200000,11000,2.28,2,M,M,D,F,Pub,Pri,L
66,2020,S,U,A,18,0,10,H,3.5,2,2.5,2,F,3,RM,A,S,3,3.5,3.5,3.5,3.5,3,3,4,3,2.5,2.5,560000,8000,3.22,2,W,P,P,M,Pri,Un,H
67,2020,BKK,U,H,18,3,40,H,3,2,3,2.5,M,4,P,T,BKK,3,2.5,3,3,3,2.5,3.5,3.5,2.5,3.5,1.5,530000,10000,3.09,3,W,V,V,F,Free,Pub,M
68,2020,S,U,A,18,0,10,H,4,4,2,2.5,F,4,A,T,S,3.5,3,4,4,3.5,1.5,4,4,3,4,2,500000,10000,3.31,2,W,H,V,F,Bus,Free,N
69,2020,S,U,A,18,0,15,H,4,3,3,2,M,3,A,T,S,3.5,3.5,3.5,4,3.5,3.5,4,4,4,3,2,590000,6000,3.6,3,W,H,P,M,Free,Free,M
70,2020,BKK,U,H,18,3,25,H,3.5,2,3,4,M,4,P,T,BKK,3,3,3.5,3.5,3,2.5,3.5,3.5,2.5,3,4,500000,13000,3.26,2,W,P,P,F,Pub,Pri,M
71,2020,S,R,A,19,0,45,H,4,3.5,2.5,3,M,3,A,T,S,3.5,2.5,3.5,4,3.5,4,3,3.5,2.5,4,1.5,1000000,9000,3.32,2,M,B,M,M,Pri,Free,H
72,2020,BKK,U,H,18,18,50,H,2,4,4,4,M,3,P,T,BKK,2,2.5,2,2,1.5,1.5,2,1.5,1,1.5,2,1380000,3000,2.03,3,W,B,M,M,Free,Free,H
73,2020,S,U,A,18,0,10,H,3.5,2.5,3,3,F,3,RM,T,S,3,3,3,3.5,4,1,3.5,3,3.5,3,2.5,420000,4000,2.92,2,W,H,P,M,Free,Free,H
74,2020,BKK,U,H,18,3,40,H,3.5,4,4,2.5,M,4,P,T,BKK,2.5,2.5,2.5,2.5,3,3.5,3,2.5,3.5,2.5,3,530000,5000,2.91,2,W,V,V,F,Free,Free,M
75,2020,NE,R,A,18,0,15,H,3,2,3.5,2,M,3,A,T,NE,3,2.5,2.5,3.5,4,2,3,3,3.5,3,2.5,470000,6000,3.14,2,M,P,H,M,Pub,Free,N
76,2020,BKK,U,A,18,18,20,V,3,4,2,2,F,3,A,T,BKK,2.5,2.5,3,2.5,2,3,3.5,3,1.5,3,1,520000,6000,2.7,1,W,P,H,F,Free,Pri,N
77,2020,BKK,U,H,18,18,35,H,2,4,4,3.5,M,4,P,T,BKK,2,2,2,2,1.5,1.5,2,2,1,1,2,620000,6000,2.07,2,W,D,D,F,Pub,Pub,M
78,2020,S,U,A,18,3,5,H,3.5,3.5,4,3,F,3,A,T,S,3,3,3.5,3,2.5,1.5,2.5,3,2.5,2.5,3,550000,5000,2.98,3,W,P,P,F,Bus,Free,L
79,2020,BKK,U,H,18,18,35,V,4,2,2,2.5,F,4,P,T,BKK,3,3,3,2.5,2.5,2.5,3,3,2.5,2.5,1,870000,9000,2.63,2,W,D,D,F,Bus,Pub,H
80,2020,BKK,U,A,18,18,15,H,3.5,4,3,4,F,3,A,T,BKK,3,3,3.5,3.5,2.5,2,4,3,2,2.5,2,1290000,10000,2.93,2,W,B,B,M,Pub,Pub,L
81,2020,BKK,U,H,18,18,55,V,2.5,2,3,4,M,3,MoD,A,BKK,2.5,2,2.5,2.5,2,2,3.5,3.5,2,2,2.5,510000,10000,2.58,1,W,P,P,M,Pub,Un,M
82,2020,NE,U,A,18,0,15,H,2,3,2,3.5,M,4,RM,T,NE,1.5,1,1.5,1.5,2,1,1,1.5,0.5,2.5,2,840000,7000,1.74,2,W,M,M,M,Pub,Pub,N
83,2020,BKK,U,H,18,18,55,H,2,4,4,3,F,3,P,T,BKK,2,1.5,2,2,1.5,1,2,2.5,2.5,1.5,1.5,500000,6000,2.03,3,W,V,V,M,Bus,Pri,M
84,2020,NE,U,A,19,0,5,H,2.5,4,2.5,4,M,4,A,T,NE,2.5,3,3.5,2.5,2.5,1.5,2,2,1,3,2,710000,11000,2.57,3,W,M,M,M,Pri,Pri,H
85,2020,BKK,U,H,19,19,65,V,4,3.5,2,2.5,F,4,P,T,BKK,3.5,4,4,4,4,3,3.5,3,4,3,1.5,400000,10000,3.45,1,M,P,P,F,Pub,Bus,H
86,2020,BKK,U,H,18,18,60,H,4,2.5,4,2,M,3,P,T,BKK,3.5,3,3.5,4,4,3.5,3.5,3,3,4,2.5,490000,3000,3.41,3,W,V,B,F,Bus,Bus,L
87,2020,NE,U,A,18,0,15,H,3,4,2.5,4,M,2,A,A,NE,3,2.5,3,3,3,4,3,3,2.5,3,2.5,1670000,7000,2.89,3,W,D,D,F,Un,Free,N
88,2020,BKK,U,H,18,18,70,H,4,3.5,3.5,3.5,F,2,MoD,A,BKK,3.5,3,4,3.5,4,3,3.5,4,3.5,3.5,4,490000,5000,3.59,2,W,B,B,M,Free,Un,H
89,2020,NE,U,A,18,0,60,H,4,3,3,2.5,F,3,A,A,NE,3.5,3,4,3,2.5,3,3,3.5,3,4,4,1480000,7000,3.45,2,M,B,M,M,Pri,Un,M
90,2020,S,U,A,18,3,15,H,3.5,3,3,2,F,3,A,A,S,3,2.5,2.5,3,2.5,3,4,3,3.5,3.5,2.5,600000,8000,2.92,2,W,B,V,M,Pri,Un,L
91,2020,NE,U,H,18,3,50,H,3.5,2.5,3,4,M,4,P,T,NE,3,3.5,3,2.5,3.5,3.5,3,3.5,3,3.5,1,1310000,11000,3.04,2,W,M,D,F,Free,Free,N
92,2020,S,U,A,18,0,5,V,2.5,3,3.5,2.5,M,4,A,T,S,2.5,1,2,2.5,3,1,2.5,3,2,2.5,2,500000,12000,2.44,3,W,B,M,F,Pri,Pri,M
93,2020,N,R,A,18,3,5,H,2,2.5,3,3,M,3,A,T,N,1.5,1,2,1.5,1.5,0,1.5,2,1,2,2.5,1080000,11000,1.97,2,W,M,B,F,Bus,Pri,M
94,2020,NE,R,A,18,0,15,H,4,3,2.5,3,M,3,RM,T,NE,4,3.5,3.5,4,3.5,4,4,4,3.5,4,2,580000,11000,3.71,3,W,V,H,M,Free,Pri,N
95,2020,N,U,A,18,0,15,H,3.5,4,3,2.5,M,3,A,T,N,3,2.5,2.5,2.5,2,1.5,3,2.5,2.5,4,1.5,1480000,5000,2.79,3,W,D,D,F,Free,Pri,H
96,2020,BKK,U,H,19,19,25,V,3.5,2.5,2,2.5,M,3,P,T,BKK,3,4,4,3,2.5,3,3.5,3.5,1,3,2.5,400000,10000,3.14,1,W,P,H,F,Free,Pri,H
97,2020,BKK,U,H,18,18,25,H,3,3.5,2,2,F,3,P,T,BKK,3,3,3,2.5,2,3,3,3,1.5,4,3.5,1210000,11000,2.83,2,W,M,D,F,Free,Pri,N
98,2020,BKK,U,H,18,18,45,H,3.5,2.5,3.5,2,F,5,P,T,BKK,3.5,4,4,3.5,3.5,3.5,3.5,4,2,4,4,510000,10000,3.51,2,W,H,P,F,Pub,Pub,N
99,2020,BKK,U,H,18,18,55,V,2.5,3.5,2,3.5,F,3,P,T,BKK,2,1,1.5,2,1.5,2,2.5,2,2,2.5,3,1460000,5000,2.27,1,W,M,D,F,Bus,Pri,N
100,2020,S,R,A,18,0,5,H,3.5,2.5,2,2.5,M,3,A,T,S,3,3.5,4,3.5,3.5,2.5,3.5,3.5,2.5,2,1.5,460000,12000,2.98,3,W,H,P,F,Pri,Free,M
101,2020,BKK,U,H,18,18,20,V,3,2,3,4,M,4,P,T,BKK,3,2,2.5,3,3,2.5,3.5,3.5,3.5,3.5,1,610000,4000,2.93,1,W,D,D,M,Pub,Pub,L
102,2020,NE,U,A,19,0,15,H,2.5,2.5,3,3.5,M,2,A,A,NE,2.5,1.5,2.5,2,2,1.5,2.5,2.5,1.5,2.5,1,1530000,5000,2.23,2,W,D,M,M,Pub,Un,H
103,2020,NE,U,A,18,0,15,V,4,4,2,2,M,3,A,T,NE,4,4,4,4,4,3,4,4,2.5,4,1.5,620000,9000,3.58,3,W,B,M,F,Pri,Pri,N
104,2020,BKK,U,H,18,18,55,V,3.5,3,3,2.5,F,3,P,T,BKK,3,3,3.5,3,3,3.5,2.5,3.5,2,3,2,1500000,4000,2.85,2,M,D,M,M,Pri,Pri,M
105,2020,NE,U,A,18,3,5,H,2.5,2,2.5,2,M,4,A,T,BKK,2,2,2,2.5,2.5,2.5,2.5,2,1.5,2.5,2,1340000,6000,2.3,3,W,M,M,F,Bus,Bus,H
106,2020,BKK,U,H,18,18,55,V,4,4,2,3,F,3,P,T,BKK,3.5,3,3,4,3.5,3.5,4,4,2.5,3,1.5,490000,12000,3.22,2,W,P,P,F,Pub,Pub,L
107,2020,BKK,U,H,18,18,65,H,2.5,3,3.5,2,M,4,P,T,BKK,2,2.5,4,2.5,2.5,0,2.5,2.5,1.5,3.5,2,550000,7000,2.65,3,W,B,V,F,Free,Bus,H
108,2020,BKK,U,H,18,18,45,V,2,4,4,3,M,3,P,T,BKK,2,1.5,1.5,2.5,2,0,2.5,2,1,2.5,3.5,510000,4000,2.12,1,W,V,V,F,Bus,Pub,N
109,2020,N,U,A,18,0,15,H,3.5,3,2,3.5,M,3,A,T,BKK,3,3,3.5,4,3,3.5,3,3,2,4,1,1060000,9000,3.02,2,M,B,M,M,Free,Free,N
110,2020,S,U,A,18,0,15,H,2.5,2,4,3.5,F,4,A,T,S,2.5,3,3.5,2.5,2.5,1.5,3,3,1.5,2.5,4,470000,7000,2.84,2,M,V,V,M,Pri,Free,H
111,2020,S,U,A,19,0,10,H,3,3,4,3,M,2,A,A,BKK,3,3.5,3.5,3.5,4,2.5,3.5,3,4,4,3,510000,3000,3.47,3,W,P,P,M,Free,Un,N
112,2020,BKK,U,H,18,18,10,V,2.5,3.5,4,3,M,3,P,T,BKK,2.5,3,3.5,2.5,3,2,3,2.5,3,2.5,2,950000,11000,2.84,1,W,B,V,M,Pub,Pri,M
113,2020,S,U,A,19,4,15,H,3.5,3,3,2.5,F,3,RM,T,S,3,2.5,3,3.5,3.5,2,3,2.5,3,4,2,500000,5000,2.97,2,W,P,P,F,Free,Pub,M
114,2020,BKK,U,A,18,18,5,H,3,2.5,2.5,2,M,4,A,T,BKK,3,3,2.5,2.5,1.5,1,3,4,2.5,3.5,2,1340000,4000,2.79,3,W,B,B,F,Bus,Bus,L
115,2020,S,R,A,18,0,15,H,4,3,3.5,3.5,M,3,A,T,BKK,4,3.5,3.5,4,4,3,3,4,2.5,4,2,620000,7000,3.41,3,M,D,D,F,Bus,Pri,M
116,2020,BKK,U,A,18,3,15,V,3.5,3,3.5,3.5,M,3,A,T,BKK,3,4,4,3.5,4,3,3,3,1.5,3.5,2.5,1360000,12000,3.22,2,W,D,M,M,Pri,Pri,M
117,2020,BKK,U,H,18,18,65,V,2,2.5,2,3.5,M,4,P,T,BKK,2,2,1.5,2,2.5,2,1.5,2.5,1,2,1,770000,8000,2.05,1,W,B,V,F,Free,Pri,M
118,2020,S,U,A,18,0,5,H,3,3.5,4,3.5,M,3,RM,T,S,2.5,2.5,2.5,3,2,2,3,1.5,2.5,1.5,0.5,500000,4000,2.27,2,W,B,V,F,Pri,Bus,N
119,2020,S,R,A,18,3,5,H,2,2,2,2,M,3,A,T,S,2,2.5,3.5,2.5,3.5,1,2.5,1.5,2,2,2,540000,7000,2.49,3,W,V,B,F,Bus,Pub,M
120,2020,BKK,U,H,18,18,90,H,3.5,3,2.5,3,M,3,P,T,BKK,3.5,2.5,3,3.5,3.5,3.5,4,3.5,1.5,4,2.5,510000,3000,3.26,3,W,P,H,F,Pri,Pri,L
121,2020,S,R,A,18,0,10,H,2.5,2,3,3.5,F,3,A,T,BKK,2,2,2.5,2,1,0.5,1.5,2.5,1,2,2.5,700000,10000,2.17,2,M,B,B,F,Pri,Bus,L
122,2020,BKK,U,H,18,18,35,V,2.5,2,3.5,2.5,F,3,MoD,A,BKK,2,2,1.5,2.5,2,1.5,2.5,2,1.5,2.5,4,1370000,7000,2.28,1,W,M,M,F,Un,Pub,N
123,2020,S,U,A,18,0,15,H,4,3,4,2,F,4,A,T,BKK,3.5,4,4,3.5,3,3.5,3.5,3.5,1,4,2.5,430000,7000,3.4,3,M,B,M,F,Pub,Pri,M
124,2020,BKK,U,H,18,18,35,H,2.5,3,2.5,3,M,3,P,T,BKK,2.5,2,3,3,4,3,3,3.5,1.5,3,4,570000,3000,2.96,2,W,H,H,F,Bus,Free,H
125,2020,BKK,U,H,18,18,20,V,2,2.5,4,3,M,3,P,T,BKK,1.5,1,1.5,1.5,2,1,1,1,0.5,1.5,3.5,580000,4000,1.87,1,W,H,P,F,Pri,Bus,M
126,2020,S,U,A,19,0,5,H,2,2,3.5,4,F,3,A,T,S,1.5,1,2,2,2,1.5,1,1.5,1,1.5,3,560000,11000,1.88,2,W,H,P,F,Free,Free,L
127,2020,NE,U,A,19,0,5,H,4,2.5,3.5,2,F,3,A,T,NE,3.5,3.5,4,3.5,4,3.5,3.5,3.5,3,4,2.5,500000,11000,3.6,2,W,H,V,F,Free,Free,N
128,2020,S,R,A,18,0,5,H,2.5,2.5,3,3.5,M,4,RM,T,S,2.5,3,3.5,2.5,3,2.5,3.5,2,2,2.5,1.5,490000,11000,2.65,2,W,V,B,F,Pub,Bus,H
